Petro-Canada Petro-Pass Price (Canadian $/Litre)                Page:   1      ,,,,,,,  
            (As of: 2026-04-01)                    Created on: 2026-04-01      ,,,,,,,  
Account: 7089248298 - OBYR TRANSPORT INC.                                      ,,,,,,,  
Product: D1         - DIESEL - ULS                                             ,,,,,,,  
Region : "ALL"  Provinces: "ALL"                                               ,,,,,,,  
TROIS RIVIERES            , QC, 2.0865,0.0400,0.2020, 1.8445,         ,       ,  
VAL D'OR-EAST             , QC, 2.0911,0.0400,0.1638, 1.8873,         ,       ,  
VANIER                    , QC, 2.0746,0.0400,0.2020, 1.8326,         ,       ,  
VILLE D'ANJOU             , QC, 2.0700,0.0400,0.2020, 1.8280,         ,       ,  
  
BARRIE                    , ON, 1.8240,0.0400,0.0900, 1.6940,         ,       ,  
BOTHWELL                  , ON, 1.8070,0.0400,0.0900, 1.6770,         ,       ,  
BOWMANVILLE               , ON, 1.8235,0.0400,0.0900, 1.6935,         ,       ,  
BRADFORD (SITE 04041)     , ON, 1.8250,0.0400,0.0900, 1.6950,         ,       ,  
BRAMPTON-ARMBRO           , ON, 1.8423,0.0400,0.0900, 1.7123,         ,       ,  
BRAMPTON-INTERMODAL       , ON, 1.8109,0.0400,0.0900, 1.6809,         ,       ,  
BURLINGTON                , ON, 1.8174,0.0400,0.0900, 1.6874,         ,       ,  
BVD - BRAMPTON EAST       , ON, 1.8600,0.0400,0.0900, 1.7300,         ,       ,  
BVD - BRAMPTON WEST       , ON, 1.8600,0.0400,0.0900, 1.7300,         ,       ,  
BVD - COCHRANE            , ON, 1.9298,0.0400,0.0900, 1.7998,         ,       ,  
BVD - COMBER EAST         , ON, 1.8115,0.0400,0.0900, 1.6815,         ,       ,  
BVD - COMBER WEST         , ON, 1.8115,0.0400,0.0900, 1.6815,         ,       ,  
BVD - CORNWALL EAST       , ON, 1.8702,0.0400,0.0900, 1.7402,         ,       ,  
BVD - CORNWALL WEST       , ON, 1.8702,0.0400,0.0900, 1.7402,         ,       ,  
BVD - MILTON WEST         , ON, 1.8623,0.0400,0.0900, 1.7323,         ,       ,  
BVD - MISSISSAUGA EAST    , ON, 1.8600,0.0400,0.0900, 1.7300,         ,       ,  
BVD - MISSISSAUGA WEST    , ON, 1.8600,0.0400,0.0900, 1.7300,         ,       ,  
BVD - NIAGARA-ON-THE-LAKE , ON, 1.8521,0.0400,0.0900, 1.7221,         ,       ,  
BVD - NIPIGON WEST        , ON, 1.6607,0.0400,0.0900, 1.5307,         ,       ,  
BVD - NORTH BAY WEST      , ON, 1.8987,0.0400,0.0900, 1.7687,         ,       ,  
BVD - SARNIA WEST         , ON, 1.8398,0.0400,0.0900, 1.7098,         ,       ,  
BVD - SAULT STE MARIE     , ON, 1.8898,0.0400,0.0900, 1.7598,         ,       ,  
CHATHAM                   , ON, 1.8110,0.0400,0.0900, 1.6810,         ,       ,  
CLARKSON                  , ON, 1.8201,0.0400,0.0900, 1.6901,         ,       ,  
COLLINGWOOD               , ON, 1.8262,0.0400,0.0900, 1.6962,         ,       ,  
CONCORD                   , ON, 1.8176,0.0400,0.0900, 1.6876,         ,       ,  
COOKSTOWN                 , ON, 1.8223,0.0400,0.0900, 1.6923,         ,       ,  
DORCHESTER WEST           , ON, 1.7985,0.0400,0.0900, 1.6685,         ,       ,  
DRYDEN                    , ON, 1.6963,0.0400,0.0900, 1.5663,         ,       ,  
DUNNVILLE                 , ON, 1.8280,0.0400,0.0900, 1.6980,         ,       ,  
EXETER                    , ON, 1.8057,0.0400,0.0900, 1.6757,         ,       ,  
FERGUS                    , ON, 1.8300,0.0400,0.0900, 1.7000,         ,       ,  
FLAMBOROUGH               , ON, 1.8220,0.0400,0.0900, 1.6920,         ,       ,  
FORT ERIE                 , ON, 1.8286,0.0400,0.0900, 1.6986,         ,       ,  
GLENCOE         ON        ,   , 1.7900,0.0400,0.0900, 1.6600,         ,       ,  
GUELPH                    , ON, 1.8250,0.0400,0.0900, 1.6950,         ,       ,  
HAGERSVILLE               , ON, 1.8329,0.0400,0.0900, 1.7029,         ,       ,  
HAMILTON-KENORA AVE       , ON, 1.8251,0.0400,0.0900, 1.6951,         ,       ,  
HAMILTON-PARKDALE         , ON, 1.8251,0.0400,0.0900, 1.6951,         ,       ,  
HORNBY                    , ON, 1.8131,0.0400,0.0900, 1.6831,         ,       ,  
HUNTSVILLE                , ON, 1.8330,0.0400,0.0900, 1.7030,         ,       ,  
IGNACE                    , ON, 1.6555,0.0400,0.0900, 1.5255,         ,       ,  
KAMINISTIQUIA             , ON, 1.6385,0.0400,0.0900, 1.5085,         ,       ,  
KENORA                    , ON, 1.6807,0.0400,0.0900, 1.5507,         ,       ,  
KINGSTON-CENTENNIAL WEST  , ON, 1.8846,0.0400,0.0900, 1.7546,         ,       ,  
KITCHENER                 , ON, 1.8048,0.0400,0.0900, 1.6748,         ,       ,  
LANGTON                   , ON, 1.8054,0.0400,0.0900, 1.6754,         ,       ,  
LISTOWEL                  , ON, 1.8154,0.0400,0.0900, 1.6854,         ,       ,  
LONDON-CLARKE ROAD        , ON, 1.7960,0.0400,0.0900, 1.6660,         ,       ,  
LONDON-WILTON GROVE       , ON, 1.7981,0.0400,0.0900, 1.6681,         ,       ,  
MILTON                    , ON, 1.8150,0.0400,0.0900, 1.6850,         ,       ,  
MISSISSAUGA-ATLANTIC      , ON, 1.8095,0.0400,0.0900, 1.6795,         ,       ,  
MISSISSAUGA-DIXIE&DREW    , ON, 1.8103,0.0400,0.0900, 1.6803,         ,       ,  
MOUNT FOREST              , ON, 1.8104,0.0400,0.0900, 1.6804,         ,       ,  
NEW LISKEARD              , ON, 1.8940,0.0400,0.0900, 1.7640,         ,       ,  
NEWMARKET                 , ON, 1.8240,0.0400,0.0900, 1.6940,         ,       ,  
NIAGARA FALLS             , ON, 1.8329,0.0400,0.0900, 1.7029,         ,       ,  
NORTH BAY-HWY 11          , ON, 1.8403,0.0400,0.0900, 1.7103,         ,       ,  
NORTH YORK-STEELES        , ON, 1.8190,0.0400,0.0900, 1.6890,         ,       ,  
NORWICH                   , ON, 1.8069,0.0400,0.0900, 1.6769,         ,       ,  
ORANGEVILLE               , ON, 1.8300,0.0400,0.0900, 1.7000,         ,       ,  
ORILLIA PETRO PASS        , ON, 1.8302,0.0400,0.0900, 1.7002,         ,       ,  
ORONO                     , ON, 1.8256,0.0400,0.0900, 1.6956,         ,       ,  
OSHAWA                    , ON, 1.8300,0.0400,0.0900, 1.7000,         ,       ,  
OTTAWA-GLOUCESTER         , ON, 1.8600,0.0400,0.0900, 1.7300,         ,       ,  
OTTAWA-NEPEAN             , ON, 1.8632,0.0400,0.0900, 1.7332,         ,       ,  
OWEN SOUND                , ON, 1.8335,0.0400,0.0900, 1.7035,         ,       ,  
PETERBOROUGH  (22718)     , ON, 1.8360,0.0400,0.0900, 1.7060,         ,       ,  
PICKERING                 , ON, 1.8237,0.0400,0.0900, 1.6937,         ,       ,  
RED LAKE                  , ON, 1.7594,0.0400,0.0900, 1.6294,         ,       ,  
REXDALE                   , ON, 1.8118,0.0400,0.0900, 1.6818,         ,       ,  
SARNIA                    , ON, 1.8010,0.0400,0.0900, 1.6710,         ,       ,  
SIMCOE                    , ON, 1.8250,0.0400,0.0900, 1.6950,         ,       ,  
SIOUX LOOKOUT             , ON, 1.6994,0.0400,0.0900, 1.5694,         ,       ,  
STAYNER                   , ON, 1.8262,0.0400,0.0900, 1.6962,         ,       ,  
ST. CATHARINES            , ON, 1.8235,0.0400,0.0900, 1.6935,         ,       ,  
ST ISIDORE                , ON, 1.8663,0.0400,0.0900, 1.7363,         ,       ,  
ST-THOMAS PETRO-PASS    ON,   , 1.8115,0.0400,0.0900, 1.6815,         ,       ,  
SUDBURY-BARRYDOWNE        , ON, 1.8547,0.0400,0.0900, 1.7247,         ,       ,  
SUDBURY-REGENT            , ON, 1.8547,0.0400,0.0900, 1.7247,         ,       ,  
SUMMERSTOWN               , ON, 1.8157,0.0400,0.0900, 1.6857,         ,       ,  
THUNDER BAY               , ON, 1.6335,0.0400,0.0900, 1.5035,         ,       ,  
TIMMINS-MONETA            , ON, 1.8497,0.0400,0.0900, 1.7197,         ,       ,  
TORONTO-NORTH QUEEN       , ON, 1.8091,0.0400,0.0900, 1.6791,         ,       ,  
VAUGHAN                   , ON, 1.8220,0.0400,0.0900, 1.6920,         ,       ,  
WATERLOO                  , ON, 1.8230,0.0400,0.0900, 1.6930,         ,       ,  
WELLAND                   , ON, 1.8325,0.0400,0.0900, 1.7025,         ,       ,  
WINDSOR-COUNTY RD 46      , ON, 1.8191,0.0400,0.0900, 1.6891,         ,       ,  
WINGHAM  22716            , ON, 1.8124,0.0400,0.0900, 1.6824,         ,       ,  
WOODSTOCK                 , ON, 1.8223,0.0400,0.0900, 1.6923,         ,       ,  
  
ALTONA       MB           ,   , 1.6900,0.0400,0.1250, 1.5250,         ,       ,  
ARBORG                    , MB, 1.6840,0.0400,0.1250, 1.5190,         ,       ,  
BRANDON-18TH ST           , MB, 1.6872,0.0400,0.1250, 1.5222,         ,       ,  
BRANDON-TCH               , MB, 1.6872,0.0400,0.1250, 1.5222,         ,       ,  
BVD - WINNIPEG WEST       , MB, 1.7043,0.0400,0.1250, 1.5393,         ,       ,  
CRYSTAL CITY (65885)      , MB, 1.6979,0.0400,0.1250, 1.5329,         ,       ,  
DAUPHIN                   , MB, 1.6901,0.0400,0.1250, 1.5251,         ,       ,  
KILLARNEY                 , MB, 1.6979,0.0400,0.1250, 1.5329,         ,       ,  
MELITA                    , MB, 1.7004,0.0400,0.1250, 1.5354,         ,       ,  
MIAMI                     , MB, 1.6979,0.0400,0.1250, 1.5329,         ,       ,  
MORRIS                    , MB, 1.6850,0.0400,0.1250, 1.5200,         ,       ,  
NEEPAWA                   , MB, 1.6922,0.0400,0.1250, 1.5272,         ,       ,  
PINE FALLS                , MB, 1.6840,0.0400,0.1250, 1.5190,         ,       ,  
PORTAGE LA PRAIRIE        , MB, 1.6842,0.0400,0.1250, 1.5192,         ,       ,  
RESTON                    , MB, 1.7004,0.0400,0.1250, 1.5354,         ,       ,  
RUSSELL                   , MB, 1.6784,0.0400,0.1250, 1.5134,         ,       ,  
STEINBACH   MB            ,   , 1.6880,0.0400,0.1250, 1.5230,         ,       ,  
TEULON                    , MB, 1.6810,0.0400,0.1250, 1.5160,         ,       ,  
THE PAS                   , MB, 1.6820,0.0400,0.1250, 1.5170,         ,       ,  
THOMPSON                  , MB, 1.6985,0.0400,0.1250, 1.5335,         ,       ,  
VIRDEN                    , MB, 1.7004,0.0400,0.1250, 1.5354,         ,       ,  
WINKLER                   , MB, 1.6886,0.0400,0.1250, 1.5236,         ,       ,  
WINNIPEG-DEACONS          , MB, 1.6806,0.0400,0.1250, 1.5156,         ,       ,  
WINNIPEG-MARION ST        , MB, 1.6689,0.0400,0.1250, 1.5039,         ,       ,  
  
ALIDA                     , SK, 1.7086,0.0400,0.1500, 1.5186,         ,       ,  
ASSINIBOIA                , SK, 1.6882,0.0400,0.1500, 1.4982,         ,       ,  
BIGGAR                    , SK, 1.7044,0.0400,0.1500, 1.5144,         ,       ,  
BVD - GRENFELL WEST       , SK, 1.6939,0.0400,0.1500, 1.5039,         ,       ,  
CARLYLE                   , SK, 1.7047,0.0400,0.1500, 1.5147,         ,       ,  
CARNDUFF                  , SK, 1.7047,0.0400,0.1500, 1.5147,         ,       ,  
CARROT RIVER              , SK, 1.7195,0.0400,0.1500, 1.5295,         ,       ,  
CHAPLIN                   , SK, 1.6830,0.0400,0.1500, 1.4930,         ,       ,  
CORMAN PARK               , SK, 1.6947,0.0400,0.1500, 1.5047,         ,       ,  
EDAM                      , SK, 1.7137,0.0400,0.1500, 1.5237,         ,       ,  
ESTEVAN - 4TH ST          , SK, 1.7012,0.0400,0.1500, 1.5112,         ,       ,  
ESTEVAN - CARBON          , SK, 1.7012,0.0400,0.1500, 1.5112,         ,       ,  
GRAVELBOURG               , SK, 1.6968,0.0400,0.1500, 1.5068,         ,       ,  
GRENFELL                  , SK, 1.6870,0.0400,0.1500, 1.4970,         ,       ,  
HUMBOLDT                  , SK, 1.7114,0.0400,0.1500, 1.5214,         ,       ,  
KINDERSLEY                , SK, 1.7155,0.0400,0.1500, 1.5255,         ,       ,  
KIPLING                   , SK, 1.7006,0.0400,0.1500, 1.5106,         ,       ,  
LAMPMAN                   , SK, 1.6948,0.0400,0.1500, 1.5048,         ,       ,  
LARONGE                   , SK, 1.7387,0.0400,0.1500, 1.5487,         ,       ,  
MAIDSTONE                 , SK, 1.6962,0.0400,0.1500, 1.5062,         ,       ,  
MANKOTA                   , SK, 1.7026,0.0400,0.1500, 1.5126,         ,       ,  
MAPLE CREEK               , SK, 1.7042,0.0400,0.1500, 1.5142,         ,       ,  
MEADOW LAKE               , SK, 1.7271,0.0400,0.1500, 1.5371,         ,       ,  
MELFORT                   , SK, 1.7286,0.0400,0.1500, 1.5386,         ,       ,  
MOOSE JAW                 , SK, 1.6830,0.0400,0.1500, 1.4930,         ,       ,  
NORTH BATTLEFORD BYPASS   , SK, 1.7097,0.0400,0.1500, 1.5197,         ,       ,  
NORTH BATTLEFORD          , SK, 1.7097,0.0400,0.1500, 1.5197,         ,       ,  
OXBOW                     , SK, 1.7026,0.0400,0.1500, 1.5126,         ,       ,  
PRINCE ALBERT             , SK, 1.7106,0.0400,0.1500, 1.5206,         ,       ,  
RADVILLE                  , SK, 1.6995,0.0400,0.1500, 1.5095,         ,       ,  
REDVERS                   , SK, 1.7093,0.0400,0.1500, 1.5193,         ,       ,  
REGINA                    , SK, 1.6800,0.0400,0.1500, 1.4900,         ,       ,  
ROSETOWN                  , SK, 1.7076,0.0400,0.1500, 1.5176,         ,       ,  
SASKATOON-51ST ST         , SK, 1.6934,0.0400,0.1500, 1.5034,         ,       ,  
SASKATOON-MELVILLE        , SK, 1.6935,0.0400,0.1500, 1.5035,         ,       ,  
SHAUNAVON                 , SK, 1.7035,0.0400,0.1500, 1.5135,         ,       ,  
STOUGHTON                 , SK, 1.7013,0.0400,0.1500, 1.5113,         ,       ,  
SWIFT CURRENT             , SK, 1.6931,0.0400,0.1500, 1.5031,         ,       ,  
TISDALE                   , SK, 1.7188,0.0400,0.1500, 1.5288,         ,       ,  
UNITY                     , SK, 1.7130,0.0400,0.1500, 1.5230,         ,       ,  
WADENA                    , SK, 1.6992,0.0400,0.1500, 1.5092,         ,       ,  
WEYBURN                   , SK, 1.6816,0.0400,0.1500, 1.4916,         ,       ,  
YORKTON-HWY 16            , SK, 1.6947,0.0400,0.1500, 1.5047,         ,       ,  
  
ALDERSYDE                 , AB, 1.6828,0.0400,0.1300, 1.5128,         ,       ,  
ALDERSYDE                 , AB, 1.6828,0.0400,0.1300, 1.5128,         ,       ,  
ATHABASCA                 , AB, 1.6684,0.0400,0.1300, 1.4984,         ,       ,  
BASSANO                   , AB, 1.6877,0.0400,0.1300, 1.5177,         ,       ,  
BONNYVILLE                , AB, 1.6732,0.0400,0.1300, 1.5032,         ,       ,  
BROOKS-AGCOM              , AB, 1.6916,0.0400,0.1300, 1.5216,         ,       ,  
BVD - CALGARY WEST        , AB, 1.7232,0.0400,0.1300, 1.5532,         ,       ,  
CALGARY-COUNTRY HILLS     , AB, 1.6821,0.0400,0.1300, 1.5121,         ,       ,  
CALGARY-MONUMENT          , AB, 1.6719,0.0400,0.1300, 1.5019,         ,       ,  
CALGARY-OGDEN RD          , AB, 1.6713,0.0400,0.1300, 1.5013,         ,       ,  
CALGARY-REMINGTON         , AB, 1.6736,0.0400,0.1300, 1.5036,         ,       ,  
CALGARY ROAD KING  AB     ,   , 1.6715,0.0400,0.1300, 1.5015,         ,       ,  
CAMROSE                   , AB, 1.6556,0.0400,0.1300, 1.4856,         ,       ,  
CARDSTON                  , AB, 1.6943,0.0400,0.1300, 1.5243,         ,       ,  
CARSTAIRS                 , AB, 1.6699,0.0400,0.1300, 1.4999,         ,       ,  
CLAIRMONT                 , AB, 1.6948,0.0400,0.1300, 1.5248,         ,       ,  
CNRL HORIZON PROJECT      , AB, 1.7410,0.0400,0.1300, 1.5710,         ,       ,  
COCHRANE-JUMPING POUND    , AB, 1.6842,0.0400,0.1300, 1.5142,         ,       ,  
COLD LAKE                 , AB, 1.6945,0.0400,0.1300, 1.5245,         ,       ,  
CORONATION                , AB, 1.6679,0.0400,0.1300, 1.4979,         ,       ,  
CROSSFIELD                , AB, 1.6702,0.0400,0.1300, 1.5002,         ,       ,  
DRAYTON VALLEY-50TH ST    , AB, 1.6640,0.0400,0.1300, 1.4940,         ,       ,  
DRAYTON VALLEY-INDUSTRIAL , AB, 1.6648,0.0400,0.1300, 1.4948,         ,       ,  
DRUMHELLER                , AB, 1.6731,0.0400,0.1300, 1.5031,         ,       ,  
EDMONTON-118 AVE          , AB, 1.6527,0.0400,0.1300, 1.4827,         ,       ,  
EDMONTON-50TH ST          , AB, 1.6511,0.0400,0.1300, 1.4811,         ,       ,  
EDMONTON-ACHESON          , AB, 1.6557,0.0400,0.1300, 1.4857,         ,       ,  
EDMONTON-WEST (HUNTERS CNR, AB, 1.6534,0.0400,0.1300, 1.4834,         ,       ,  
EDMONTON-YELLOWHEAD       , AB, 1.6478,0.0400,0.1300, 1.4778,         ,       ,  
EDSON - 63 ST             , AB, 1.6694,0.0400,0.1300, 1.4994,         ,       ,  
FALHER                    , AB, 1.6951,0.0400,0.1300, 1.5251,         ,       ,  
FORT MCMURRAY-NORTH       , AB, 1.7064,0.0400,0.1300, 1.5364,         ,       ,  
FORT MCMURRAY PPASS 66    , AB, 1.6886,0.0400,0.1300, 1.5186,         ,       ,  
FORT MCMURRAY-SOUTH       , AB, 1.7064,0.0400,0.1300, 1.5364,         ,       ,  
FOX CREEK                 , AB, 1.6785,0.0400,0.1300, 1.5085,         ,       ,  
FT SASKATCHEWAN           , AB, 1.6531,0.0400,0.1300, 1.4831,         ,       ,  
GLENEVIS                  , AB, 1.6543,0.0400,0.1300, 1.4843,         ,       ,  
GRANDE PRAIRIE-116 ST     , AB, 1.6987,0.0400,0.1300, 1.5287,         ,       ,  
GRANDE PRAIRIE-97TH       , AB, 1.6948,0.0400,0.1300, 1.5248,         ,       ,  
GRASSLAND                 , AB, 1.6807,0.0400,0.1300, 1.5107,         ,       ,  
HANNA                     , AB, 1.6836,0.0400,0.1300, 1.5136,         ,       ,  
HARDISTY                  , AB, 1.6634,0.0400,0.1300, 1.4934,         ,       ,  
HIGH LEVEL                , AB, 1.7001,0.0400,0.1300, 1.5301,         ,       ,  
HIGH PRAIRIE              , AB, 1.6878,0.0400,0.1300, 1.5178,         ,       ,  
HINTON                    , AB, 1.6801,0.0400,0.1300, 1.5101,         ,       ,  
HUSSAR                    , AB, 1.6893,0.0400,0.1300, 1.5193,         ,       ,  
LAC LA BICHE              , AB, 1.6734,0.0400,0.1300, 1.5034,         ,       ,  
LA CRETE                  , AB, 1.7184,0.0400,0.1300, 1.5484,         ,       ,  
LETHBRIDGE                , AB, 1.6940,0.0400,0.1300, 1.5240,         ,       ,  
LLOYDMINSTER 63           , AB, 1.6717,0.0400,0.1300, 1.5017,         ,       ,  
LLOYDMINSTER              , AB, 1.6717,0.0400,0.1300, 1.5017,         ,       ,  
MANNING                   , AB, 1.7106,0.0400,0.1300, 1.5406,         ,       ,  
MCL ARCHIEWAY             , AB, 1.8542,0.0400,0.1300, 1.6842,         ,       ,  
MCL BALZAC YAR            , AB, 1.6971,0.0400,0.1300, 1.5271,         ,       ,  
MCL CNRL PIKE CAMP AB     ,   , 1.7560,0.0400,0.1300, 1.5860,         ,       ,  
MCL DEERFOOT UPGRADES     , AB, 1.6979,0.0400,0.1300, 1.5279,         ,       ,  
MCL DP2Z- BLOCK 80 DEPOT A,   , 1.6923,0.0400,0.1300, 1.5223,         ,       ,  
MCL HAMMERSTONE_92704     , AB, 1.7114,0.0400,0.1300, 1.5414,         ,       ,  
MCL HAMMERSTONE CON_92701 , AB, 1.6970,0.0400,0.1300, 1.5270,         ,       ,  
MCL HANGINGSTONE          , AB, 1.6930,0.0400,0.1300, 1.5230,         ,       ,  
MCL HUSKY RD              , AB, 1.8848,0.0400,0.1300, 1.7148,         ,       ,  
MCL JACKFISH              , AB, 1.7327,0.0400,0.1300, 1.5627,         ,       ,  
MCL JACKFISH TA    AB     ,   , 1.7596,0.0400,0.1300, 1.5896,         ,       ,  
MCL KLEYSEN               , AB, 1.6575,0.0400,0.1300, 1.4875,         ,       ,  
MCL LEISMER               , AB, 1.7412,0.0400,0.1300, 1.5712,         ,       ,  
MCL LONG LAKE             , AB, 1.7450,0.0400,0.1300, 1.5750,         ,       ,  
MCL PELICAN LAKE          , AB, 1.7306,0.0400,0.1300, 1.5606,         ,       ,  
MCL PRIMROSE THERMAL      , AB, 1.7658,0.0400,0.1300, 1.5958,         ,       ,  
MCL RUTH LAKE             , AB, 1.7184,0.0400,0.1300, 1.5484,         ,       ,  
MCL WHISKEY JACK   AB     ,   , 1.7200,0.0400,0.1300, 1.5500,         ,       ,  
MEDICINE HAT-10TH AVE     , AB, 1.6988,0.0400,0.1300, 1.5288,         ,       ,  
MEDICINE HAT-BOX SPRINGS  , AB, 1.7036,0.0400,0.1300, 1.5336,         ,       ,  
NISKU                     , AB, 1.6543,0.0400,0.1300, 1.4843,         ,       ,  
OLDS                      , AB, 1.6680,0.0400,0.1300, 1.4980,         ,       ,  
PEACE RIVER               , AB, 1.6969,0.0400,0.1300, 1.5269,         ,       ,  
PEACE RIVER               , AB, 1.6969,0.0400,0.1300, 1.5269,         ,       ,  
PINCHER CREEK             , AB, 1.6942,0.0400,0.1300, 1.5242,         ,       ,  
PROVOST                   , AB, 1.6771,0.0400,0.1300, 1.5071,         ,       ,  
REDCLIFF                  , AB, 1.6998,0.0400,0.1300, 1.5298,         ,       ,  
RED DEER-54TH AVE         , AB, 1.6612,0.0400,0.1300, 1.4912,         ,       ,  
RED DEER-EDGAR            , AB, 1.6612,0.0400,0.1300, 1.4912,         ,       ,  
RED DEER HIGHWAY 2 AND 42 , AB, 1.6620,0.0400,0.1300, 1.4920,         ,       ,  
RED EARTH CREEK           , AB, 1.6942,0.0400,0.1300, 1.5242,         ,       ,  
ROCKY MTN HOUSE           , AB, 1.6676,0.0400,0.1300, 1.4976,         ,       ,  
SLAVE LAKE-12TH AVE       , AB, 1.6797,0.0400,0.1300, 1.5097,         ,       ,  
SLAVE LAKE-15TH AVE       , AB, 1.6797,0.0400,0.1300, 1.5097,         ,       ,  
SPIRIT RIVER              , AB, 1.7004,0.0400,0.1300, 1.5304,         ,       ,  
STETTLER                  , AB, 1.6644,0.0400,0.1300, 1.4944,         ,       ,  
STRATHMORE                , AB, 1.6855,0.0400,0.1300, 1.5155,         ,       ,  
SUNDRE                    , AB, 1.6705,0.0400,0.1300, 1.5005,         ,       ,  
TABER                     , AB, 1.6998,0.0400,0.1300, 1.5298,         ,       ,  
THREE HILLS               , AB, 1.6703,0.0400,0.1300, 1.5003,         ,       ,  
VALLEYVIEW                , AB, 1.6846,0.0400,0.1300, 1.5146,         ,       ,  
VEGREVILLE                , AB, 1.6577,0.0400,0.1300, 1.4877,         ,       ,  
VERMILION                 , AB, 1.6698,0.0400,0.1300, 1.4998,         ,       ,  
VIKING                    , AB, 1.6600,0.0400,0.1300, 1.4900,         ,       ,  
VULCAN                    , AB, 1.6906,0.0400,0.1300, 1.5206,         ,       ,  
WASKATENAU                , AB, 1.6549,0.0400,0.1300, 1.4849,         ,       ,  
WESTLOCK                  , AB, 1.6639,0.0400,0.1300, 1.4939,         ,       ,  
WETASKIWIN                , AB, 1.6564,0.0400,0.1300, 1.4864,         ,       ,  
WHITECOURT-42ND ST        , AB, 1.6741,0.0400,0.1300, 1.5041,         ,       ,  
WHITECOURT-HWY 43         , AB, 1.6741,0.0400,0.1300, 1.5041,         ,       ,  
  
100 MILE HOUSE            , BC, 1.9136,0.0400,0.1500, 1.7236,         ,       ,  
