Petro-Canada Petro-Pass Price (Canadian $/Litre)                Page:   1      ,,,,,,,  
            (As of: 2026-04-01)                    Created on: 2026-04-01      ,,,,,,,  
Account: 7089248298 - OBYR TRANSPORT INC.                                      ,,,,,,,  
Product: D1         - DIESEL - ULS                                             ,,,,,,,  
Region : "ALL"  Provinces: "ALL"                                               ,,,,,,,  
                          ,   ,PRICE* ,      , CBN+ ,BASE   ,         ,       ,  
                          ,   ,EXCL.  , FCT+ , PFT+ ,PRICE  ,         ,       ,  
                          ,   ,GST/HST,  FET , UTT  ,EXCL.  ,         ,       ,  
SITE NAME                 ,Prv,PST $/L,  $/L , $/L  ,TAX $/L,         ,       ,  
--------------------------,---,-------,------,------,-------,         ,       ,  
DEER LAKE                 , NL, 1.9663,0.0400,0.0950, 1.8313,         ,       ,  
GOOBIES                   , NL, 1.9229,0.0400,0.0950, 1.7879,         ,       ,  
ST JOHN'S                 , NL, 1.9275,0.0400,0.0950, 1.7925,         ,       ,  
  
DARTMOUTH                 , NS, 1.9536,0.0400,0.1540, 1.7596,         ,       ,  
GLENHOLME                 , NS, 1.9641,0.0400,0.1540, 1.7701,         ,       ,  
LITTLE BRAS D'OR          , NS, 1.9591,0.0400,0.1540, 1.7651,         ,       ,  
LW HARBOUR                , NS, 1.9785,0.0400,0.1540, 1.7845,         ,       ,  
WILEVILLE                 , NS, 1.9620,0.0400,0.1540, 1.7680,         ,       ,  
WILMOT                    , NS, 1.9623,0.0400,0.1540, 1.7683,         ,       ,  
WINDSOR                   , NS, 1.9598,0.0400,0.1540, 1.7658,         ,       ,  
YARMOUTH                  , NS, 1.9785,0.0400,0.1540, 1.7845,         ,       ,  
  
BVD - MEDUCTIC WEST       , NB, 2.0307,0.0400,0.1545, 1.8362,         ,       ,  
GRAND FALLS               , NB, 1.9638,0.0400,0.1545, 1.7693,         ,       ,  
MONCTON                   , NB, 1.9738,0.0400,0.1545, 1.7793,         ,       ,  
  
AMOS                      , QC, 2.0812,0.0400,0.1638, 1.8774,         ,       ,  
BAIE COMEAU               , QC, 2.0775,0.0400,0.1638, 1.8737,         ,       ,  
CHAMBORD                  , QC, 2.0570,0.0400,0.1638, 1.8532,         ,       ,  
CHIBOUGAMAU               , QC, 2.0742,0.0400,0.1638, 1.8704,         ,       ,  
CHICOUTIMI                , QC, 2.0577,0.0400,0.1638, 1.8539,         ,       ,  
GATINEAU                  , QC, 2.1057,0.0400,0.2020, 1.8637,         ,       ,  
GRANBY                    , QC, 2.0887,0.0400,0.2020, 1.8467,         ,       ,  
LACHINE                   , QC, 2.0762,0.0400,0.2020, 1.8342,         ,       ,  
L'ASSOMPTION              , QC, 2.0784,0.0400,0.2020, 1.8364,         ,       ,  
LAVAL                     , QC, 2.0762,0.0400,0.2020, 1.8342,         ,       ,  
MATAGAMI                  , QC, 2.1214,0.0400,0.1638, 1.9176,         ,       ,  
MONT JOLI                 , QC, 2.0523,0.0400,0.1638, 1.8485,         ,       ,  
MONT-LAURIER              , QC, 2.0775,0.0400,0.1830, 1.8545,         ,       ,  
NAPIERVILLE               , QC, 2.0832,0.0400,0.2020, 1.8412,         ,       ,  
ROUYN-NORANDA             , QC, 2.0886,0.0400,0.1638, 1.8848,         ,       ,  
SHERBROOKE                , QC, 2.0972,0.0400,0.2020, 1.8552,         ,       ,  
STE EULALIE               , QC, 2.0860,0.0400,0.2020, 1.8440,         ,       ,  
STE FOY                   , QC, 2.0743,0.0400,0.2020, 1.8323,         ,       ,  
STE JULIE                 , QC, 2.0765,0.0400,0.2020, 1.8345,         ,       ,  
ST JEAN-PORT JOLI         , QC, 2.0866,0.0400,0.2020, 1.8446,         ,       ,  
ST LAURENT                , QC, 2.0780,0.0400,0.2020, 1.8360,         ,       ,  
ST NICOLAS                , QC, 2.0740,0.0400,0.2020, 1.8320,         ,       ,  
