Petro-Canada Petro-Pass Price (Canadian $/Litre)                Page:   1      ,,,,,,,  
            (As of: 2026-04-05)                    Created on: 2026-04-05      ,,,,,,,  
Account: 7089248298 - OBYR TRANSPORT INC.                                      ,,,,,,,  
Product: D1         - DIESEL - ULS                                             ,,,,,,,  
Region : "ALL"  Provinces: "ALL"                                               ,,,,,,,  
                          ,   ,PRICE* ,      , CBN+ ,BASE   ,         ,       ,  
                          ,   ,EXCL.  , FCT+ , PFT+ ,PRICE  ,         ,       ,  
                          ,   ,GST/HST,  FET , UTT  ,EXCL.  ,         ,       ,  
SITE NAME                 ,Prv,PST $/L,  $/L , $/L  ,TAX $/L,         ,       ,  
--------------------------,---,-------,------,------,-------,         ,       ,  
DEER LAKE                 , NL, 2.0643,0.0400,0.0950, 1.9293,         ,       ,  
GOOBIES                   , NL, 2.0209,0.0400,0.0950, 1.8859,         ,       ,  
ST JOHN'S                 , NL, 2.0255,0.0400,0.0950, 1.8905,         ,       ,  
  
DARTMOUTH                 , NS, 2.0516,0.0400,0.1540, 1.8576,         ,       ,  
GLENHOLME                 , NS, 2.0621,0.0400,0.1540, 1.8681,         ,       ,  
LITTLE BRAS D'OR          , NS, 2.0571,0.0400,0.1540, 1.8631,         ,       ,  
LW HARBOUR                , NS, 2.0765,0.0400,0.1540, 1.8825,         ,       ,  
WILEVILLE                 , NS, 2.0600,0.0400,0.1540, 1.8660,         ,       ,  
WILMOT                    , NS, 2.0603,0.0400,0.1540, 1.8663,         ,       ,  
WINDSOR                   , NS, 2.0578,0.0400,0.1540, 1.8638,         ,       ,  
YARMOUTH                  , NS, 2.0765,0.0400,0.1540, 1.8825,         ,       ,  
  
BVD - MEDUCTIC WEST       , NB, 2.1157,0.0400,0.1545, 1.9212,         ,       ,  
GRAND FALLS               , NB, 2.0488,0.0400,0.1545, 1.8543,         ,       ,  
MONCTON                   , NB, 2.0718,0.0400,0.1545, 1.8773,         ,       ,  
  
AMOS                      , QC, 2.1662,0.0400,0.1638, 1.9624,         ,       ,  
BAIE COMEAU               , QC, 2.1625,0.0400,0.1638, 1.9587,         ,       ,  
CHAMBORD                  , QC, 2.1420,0.0400,0.1638, 1.9382,         ,       ,  
CHIBOUGAMAU               , QC, 2.1592,0.0400,0.1638, 1.9554,         ,       ,  
CHICOUTIMI                , QC, 2.1427,0.0400,0.1638, 1.9389,         ,       ,  
GATINEAU                  , QC, 2.1907,0.0400,0.2020, 1.9487,         ,       ,  
GRANBY                    , QC, 2.1737,0.0400,0.2020, 1.9317,         ,       ,  
LACHINE                   , QC, 2.1612,0.0400,0.2020, 1.9192,         ,       ,  
L'ASSOMPTION              , QC, 2.1634,0.0400,0.2020, 1.9214,         ,       ,  
LAVAL                     , QC, 2.1612,0.0400,0.2020, 1.9192,         ,       ,  
MATAGAMI                  , QC, 2.2064,0.0400,0.1638, 2.0026,         ,       ,  
MONT JOLI                 , QC, 2.1373,0.0400,0.1638, 1.9335,         ,       ,  
MONT-LAURIER              , QC, 2.1625,0.0400,0.1830, 1.9395,         ,       ,  
NAPIERVILLE               , QC, 2.1682,0.0400,0.2020, 1.9262,         ,       ,  
ROUYN-NORANDA             , QC, 2.1736,0.0400,0.1638, 1.9698,         ,       ,  
SHERBROOKE                , QC, 2.1822,0.0400,0.2020, 1.9402,         ,       ,  
STE EULALIE               , QC, 2.1710,0.0400,0.2020, 1.9290,         ,       ,  
STE FOY                   , QC, 2.1593,0.0400,0.2020, 1.9173,         ,       ,  
STE JULIE                 , QC, 2.1615,0.0400,0.2020, 1.9195,         ,       ,  
ST JEAN-PORT JOLI         , QC, 2.1716,0.0400,0.2020, 1.9296,         ,       ,  
ST LAURENT                , QC, 2.1630,0.0400,0.2020, 1.9210,         ,       ,  
ST NICOLAS                , QC, 2.1590,0.0400,0.2020, 1.9170,         ,       ,  
