Petro-Canada Petro-Pass Price (Canadian $/Litre)                Page:   1      ,,,,,,,  
            (As of: 2026-04-05)                    Created on: 2026-04-05      ,,,,,,,  
Account: 7089248298 - OBYR TRANSPORT INC.                                      ,,,,,,,  
Product: D1         - DIESEL - ULS                                             ,,,,,,,  
Region : "ALL"  Provinces: "ALL"                                               ,,,,,,,  
TROIS RIVIERES            , QC, 2.1715,0.0400,0.2020, 1.9295,         ,       ,  
VAL D'OR-EAST             , QC, 2.1761,0.0400,0.1638, 1.9723,         ,       ,  
VANIER                    , QC, 2.1596,0.0400,0.2020, 1.9176,         ,       ,  
VILLE D'ANJOU             , QC, 2.1550,0.0400,0.2020, 1.9130,         ,       ,  
  
BARRIE                    , ON, 1.9030,0.0400,0.0900, 1.7730,         ,       ,  
BOTHWELL                  , ON, 1.8860,0.0400,0.0900, 1.7560,         ,       ,  
BOWMANVILLE               , ON, 1.9025,0.0400,0.0900, 1.7725,         ,       ,  
BRADFORD (SITE 04041)     , ON, 1.9040,0.0400,0.0900, 1.7740,         ,       ,  
BRAMPTON-ARMBRO           , ON, 1.9213,0.0400,0.0900, 1.7913,         ,       ,  
BRAMPTON-INTERMODAL       , ON, 1.8899,0.0400,0.0900, 1.7599,         ,       ,  
BURLINGTON                , ON, 1.8964,0.0400,0.0900, 1.7664,         ,       ,  
BVD - BRAMPTON EAST       , ON, 1.9390,0.0400,0.0900, 1.8090,         ,       ,  
BVD - BRAMPTON WEST       , ON, 1.9390,0.0400,0.0900, 1.8090,         ,       ,  
BVD - COCHRANE            , ON, 2.0088,0.0400,0.0900, 1.8788,         ,       ,  
BVD - COMBER EAST         , ON, 1.8905,0.0400,0.0900, 1.7605,         ,       ,  
BVD - COMBER WEST         , ON, 1.8905,0.0400,0.0900, 1.7605,         ,       ,  
BVD - CORNWALL EAST       , ON, 1.9552,0.0400,0.0900, 1.8252,         ,       ,  
BVD - CORNWALL WEST       , ON, 1.9552,0.0400,0.0900, 1.8252,         ,       ,  
BVD - MILTON WEST         , ON, 1.9413,0.0400,0.0900, 1.8113,         ,       ,  
BVD - MISSISSAUGA EAST    , ON, 1.9390,0.0400,0.0900, 1.8090,         ,       ,  
BVD - MISSISSAUGA WEST    , ON, 1.9390,0.0400,0.0900, 1.8090,         ,       ,  
BVD - NIAGARA-ON-THE-LAKE , ON, 1.9311,0.0400,0.0900, 1.8011,         ,       ,  
BVD - NIPIGON WEST        , ON, 1.7507,0.0400,0.0900, 1.6207,         ,       ,  
BVD - NORTH BAY WEST      , ON, 1.9777,0.0400,0.0900, 1.8477,         ,       ,  
BVD - SARNIA WEST         , ON, 1.9188,0.0400,0.0900, 1.7888,         ,       ,  
BVD - SAULT STE MARIE     , ON, 1.9688,0.0400,0.0900, 1.8388,         ,       ,  
CHATHAM                   , ON, 1.8900,0.0400,0.0900, 1.7600,         ,       ,  
CLARKSON                  , ON, 1.8991,0.0400,0.0900, 1.7691,         ,       ,  
COLLINGWOOD               , ON, 1.9052,0.0400,0.0900, 1.7752,         ,       ,  
CONCORD                   , ON, 1.8966,0.0400,0.0900, 1.7666,         ,       ,  
COOKSTOWN                 , ON, 1.9013,0.0400,0.0900, 1.7713,         ,       ,  
DORCHESTER WEST           , ON, 1.8775,0.0400,0.0900, 1.7475,         ,       ,  
DRYDEN                    , ON, 1.7863,0.0400,0.0900, 1.6563,         ,       ,  
DUNNVILLE                 , ON, 1.9070,0.0400,0.0900, 1.7770,         ,       ,  
EXETER                    , ON, 1.8847,0.0400,0.0900, 1.7547,         ,       ,  
FERGUS                    , ON, 1.9090,0.0400,0.0900, 1.7790,         ,       ,  
FLAMBOROUGH               , ON, 1.9010,0.0400,0.0900, 1.7710,         ,       ,  
FORT ERIE                 , ON, 1.9076,0.0400,0.0900, 1.7776,         ,       ,  
GLENCOE         ON        ,   , 1.8690,0.0400,0.0900, 1.7390,         ,       ,  
GUELPH                    , ON, 1.9040,0.0400,0.0900, 1.7740,         ,       ,  
HAGERSVILLE               , ON, 1.9119,0.0400,0.0900, 1.7819,         ,       ,  
HAMILTON-KENORA AVE       , ON, 1.9041,0.0400,0.0900, 1.7741,         ,       ,  
HAMILTON-PARKDALE         , ON, 1.9041,0.0400,0.0900, 1.7741,         ,       ,  
HORNBY                    , ON, 1.8921,0.0400,0.0900, 1.7621,         ,       ,  
HUNTSVILLE                , ON, 1.9120,0.0400,0.0900, 1.7820,         ,       ,  
IGNACE                    , ON, 1.7455,0.0400,0.0900, 1.6155,         ,       ,  
KAMINISTIQUIA             , ON, 1.7285,0.0400,0.0900, 1.5985,         ,       ,  
KENORA                    , ON, 1.7707,0.0400,0.0900, 1.6407,         ,       ,  
KINGSTON-CENTENNIAL WEST  , ON, 1.9636,0.0400,0.0900, 1.8336,         ,       ,  
KITCHENER                 , ON, 1.8838,0.0400,0.0900, 1.7538,         ,       ,  
LANGTON                   , ON, 1.8844,0.0400,0.0900, 1.7544,         ,       ,  
LISTOWEL                  , ON, 1.8944,0.0400,0.0900, 1.7644,         ,       ,  
LONDON-CLARKE ROAD        , ON, 1.8750,0.0400,0.0900, 1.7450,         ,       ,  
LONDON-WILTON GROVE       , ON, 1.8771,0.0400,0.0900, 1.7471,         ,       ,  
MILTON                    , ON, 1.8940,0.0400,0.0900, 1.7640,         ,       ,  
MISSISSAUGA-ATLANTIC      , ON, 1.8885,0.0400,0.0900, 1.7585,         ,       ,  
MISSISSAUGA-DIXIE&DREW    , ON, 1.8893,0.0400,0.0900, 1.7593,         ,       ,  
MOUNT FOREST              , ON, 1.8894,0.0400,0.0900, 1.7594,         ,       ,  
NEW LISKEARD              , ON, 1.9730,0.0400,0.0900, 1.8430,         ,       ,  
NEWMARKET                 , ON, 1.9030,0.0400,0.0900, 1.7730,         ,       ,  
NIAGARA FALLS             , ON, 1.9119,0.0400,0.0900, 1.7819,         ,       ,  
NORTH BAY-HWY 11          , ON, 1.9193,0.0400,0.0900, 1.7893,         ,       ,  
NORTH YORK-STEELES        , ON, 1.8980,0.0400,0.0900, 1.7680,         ,       ,  
NORWICH                   , ON, 1.8859,0.0400,0.0900, 1.7559,         ,       ,  
ORANGEVILLE               , ON, 1.9090,0.0400,0.0900, 1.7790,         ,       ,  
ORILLIA PETRO PASS        , ON, 1.9092,0.0400,0.0900, 1.7792,         ,       ,  
ORONO                     , ON, 1.9046,0.0400,0.0900, 1.7746,         ,       ,  
OSHAWA                    , ON, 1.9090,0.0400,0.0900, 1.7790,         ,       ,  
OTTAWA-GLOUCESTER         , ON, 1.9390,0.0400,0.0900, 1.8090,         ,       ,  
OTTAWA-NEPEAN             , ON, 1.9422,0.0400,0.0900, 1.8122,         ,       ,  
OWEN SOUND                , ON, 1.9125,0.0400,0.0900, 1.7825,         ,       ,  
PETERBOROUGH  (22718)     , ON, 1.9150,0.0400,0.0900, 1.7850,         ,       ,  
PICKERING                 , ON, 1.9027,0.0400,0.0900, 1.7727,         ,       ,  
RED LAKE                  , ON, 1.8494,0.0400,0.0900, 1.7194,         ,       ,  
REXDALE                   , ON, 1.8908,0.0400,0.0900, 1.7608,         ,       ,  
SARNIA                    , ON, 1.8800,0.0400,0.0900, 1.7500,         ,       ,  
SIMCOE                    , ON, 1.9040,0.0400,0.0900, 1.7740,         ,       ,  
SIOUX LOOKOUT             , ON, 1.7894,0.0400,0.0900, 1.6594,         ,       ,  
STAYNER                   , ON, 1.9052,0.0400,0.0900, 1.7752,         ,       ,  
ST. CATHARINES            , ON, 1.9025,0.0400,0.0900, 1.7725,         ,       ,  
ST ISIDORE                , ON, 1.9453,0.0400,0.0900, 1.8153,         ,       ,  
ST-THOMAS PETRO-PASS    ON,   , 1.8905,0.0400,0.0900, 1.7605,         ,       ,  
SUDBURY-BARRYDOWNE        , ON, 1.9337,0.0400,0.0900, 1.8037,         ,       ,  
SUDBURY-REGENT            , ON, 1.9337,0.0400,0.0900, 1.8037,         ,       ,  
SUMMERSTOWN               , ON, 1.9007,0.0400,0.0900, 1.7707,         ,       ,  
THUNDER BAY               , ON, 1.7235,0.0400,0.0900, 1.5935,         ,       ,  
TIMMINS-MONETA            , ON, 1.9287,0.0400,0.0900, 1.7987,         ,       ,  
TORONTO-NORTH QUEEN       , ON, 1.8881,0.0400,0.0900, 1.7581,         ,       ,  
VAUGHAN                   , ON, 1.9010,0.0400,0.0900, 1.7710,         ,       ,  
WATERLOO                  , ON, 1.9020,0.0400,0.0900, 1.7720,         ,       ,  
WELLAND                   , ON, 1.9115,0.0400,0.0900, 1.7815,         ,       ,  
WINDSOR-COUNTY RD 46      , ON, 1.8981,0.0400,0.0900, 1.7681,         ,       ,  
WINGHAM  22716            , ON, 1.8914,0.0400,0.0900, 1.7614,         ,       ,  
WOODSTOCK                 , ON, 1.9013,0.0400,0.0900, 1.7713,         ,       ,  
  
ALTONA       MB           ,   , 1.7800,0.0400,0.1250, 1.6150,         ,       ,  
ARBORG                    , MB, 1.7740,0.0400,0.1250, 1.6090,         ,       ,  
BRANDON-18TH ST           , MB, 1.7772,0.0400,0.1250, 1.6122,         ,       ,  
BRANDON-TCH               , MB, 1.7772,0.0400,0.1250, 1.6122,         ,       ,  
BVD - WINNIPEG WEST       , MB, 1.7943,0.0400,0.1250, 1.6293,         ,       ,  
CRYSTAL CITY (65885)      , MB, 1.7879,0.0400,0.1250, 1.6229,         ,       ,  
DAUPHIN                   , MB, 1.7801,0.0400,0.1250, 1.6151,         ,       ,  
KILLARNEY                 , MB, 1.7879,0.0400,0.1250, 1.6229,         ,       ,  
MELITA                    , MB, 1.7904,0.0400,0.1250, 1.6254,         ,       ,  
MIAMI                     , MB, 1.7879,0.0400,0.1250, 1.6229,         ,       ,  
MORRIS                    , MB, 1.7750,0.0400,0.1250, 1.6100,         ,       ,  
NEEPAWA                   , MB, 1.7822,0.0400,0.1250, 1.6172,         ,       ,  
PINE FALLS                , MB, 1.7740,0.0400,0.1250, 1.6090,         ,       ,  
PORTAGE LA PRAIRIE        , MB, 1.7742,0.0400,0.1250, 1.6092,         ,       ,  
RESTON                    , MB, 1.7904,0.0400,0.1250, 1.6254,         ,       ,  
RUSSELL                   , MB, 1.7684,0.0400,0.1250, 1.6034,         ,       ,  
STEINBACH   MB            ,   , 1.7780,0.0400,0.1250, 1.6130,         ,       ,  
TEULON                    , MB, 1.7710,0.0400,0.1250, 1.6060,         ,       ,  
THE PAS                   , MB, 1.7720,0.0400,0.1250, 1.6070,         ,       ,  
THOMPSON                  , MB, 1.7885,0.0400,0.1250, 1.6235,         ,       ,  
VIRDEN                    , MB, 1.7904,0.0400,0.1250, 1.6254,         ,       ,  
WINKLER                   , MB, 1.7786,0.0400,0.1250, 1.6136,         ,       ,  
WINNIPEG-DEACONS          , MB, 1.7706,0.0400,0.1250, 1.6056,         ,       ,  
WINNIPEG-MARION ST        , MB, 1.7589,0.0400,0.1250, 1.5939,         ,       ,  
  
ALIDA                     , SK, 1.7986,0.0400,0.1500, 1.6086,         ,       ,  
ASSINIBOIA                , SK, 1.7782,0.0400,0.1500, 1.5882,         ,       ,  
BIGGAR                    , SK, 1.7944,0.0400,0.1500, 1.6044,         ,       ,  
BVD - GRENFELL WEST       , SK, 1.7839,0.0400,0.1500, 1.5939,         ,       ,  
CARLYLE                   , SK, 1.7947,0.0400,0.1500, 1.6047,         ,       ,  
CARNDUFF                  , SK, 1.7947,0.0400,0.1500, 1.6047,         ,       ,  
CARROT RIVER              , SK, 1.8095,0.0400,0.1500, 1.6195,         ,       ,  
CHAPLIN                   , SK, 1.7730,0.0400,0.1500, 1.5830,         ,       ,  
CORMAN PARK               , SK, 1.7847,0.0400,0.1500, 1.5947,         ,       ,  
EDAM                      , SK, 1.8037,0.0400,0.1500, 1.6137,         ,       ,  
ESTEVAN - 4TH ST          , SK, 1.7912,0.0400,0.1500, 1.6012,         ,       ,  
ESTEVAN - CARBON          , SK, 1.7912,0.0400,0.1500, 1.6012,         ,       ,  
GRAVELBOURG               , SK, 1.7868,0.0400,0.1500, 1.5968,         ,       ,  
GRENFELL                  , SK, 1.7770,0.0400,0.1500, 1.5870,         ,       ,  
HUMBOLDT                  , SK, 1.8014,0.0400,0.1500, 1.6114,         ,       ,  
KINDERSLEY                , SK, 1.8055,0.0400,0.1500, 1.6155,         ,       ,  
KIPLING                   , SK, 1.7906,0.0400,0.1500, 1.6006,         ,       ,  
LAMPMAN                   , SK, 1.7848,0.0400,0.1500, 1.5948,         ,       ,  
LARONGE                   , SK, 1.8287,0.0400,0.1500, 1.6387,         ,       ,  
MAIDSTONE                 , SK, 1.7862,0.0400,0.1500, 1.5962,         ,       ,  
MANKOTA                   , SK, 1.7926,0.0400,0.1500, 1.6026,         ,       ,  
MAPLE CREEK               , SK, 1.7942,0.0400,0.1500, 1.6042,         ,       ,  
MEADOW LAKE               , SK, 1.8171,0.0400,0.1500, 1.6271,         ,       ,  
MELFORT                   , SK, 1.8186,0.0400,0.1500, 1.6286,         ,       ,  
MOOSE JAW                 , SK, 1.7730,0.0400,0.1500, 1.5830,         ,       ,  
NORTH BATTLEFORD BYPASS   , SK, 1.7997,0.0400,0.1500, 1.6097,         ,       ,  
NORTH BATTLEFORD          , SK, 1.7997,0.0400,0.1500, 1.6097,         ,       ,  
OXBOW                     , SK, 1.7926,0.0400,0.1500, 1.6026,         ,       ,  
PRINCE ALBERT             , SK, 1.8006,0.0400,0.1500, 1.6106,         ,       ,  
RADVILLE                  , SK, 1.7895,0.0400,0.1500, 1.5995,         ,       ,  
REDVERS                   , SK, 1.7993,0.0400,0.1500, 1.6093,         ,       ,  
REGINA                    , SK, 1.7700,0.0400,0.1500, 1.5800,         ,       ,  
ROSETOWN                  , SK, 1.7976,0.0400,0.1500, 1.6076,         ,       ,  
SASKATOON-51ST ST         , SK, 1.7834,0.0400,0.1500, 1.5934,         ,       ,  
SASKATOON-MELVILLE        , SK, 1.7835,0.0400,0.1500, 1.5935,         ,       ,  
SHAUNAVON                 , SK, 1.7935,0.0400,0.1500, 1.6035,         ,       ,  
STOUGHTON                 , SK, 1.7913,0.0400,0.1500, 1.6013,         ,       ,  
SWIFT CURRENT             , SK, 1.7831,0.0400,0.1500, 1.5931,         ,       ,  
TISDALE                   , SK, 1.8088,0.0400,0.1500, 1.6188,         ,       ,  
UNITY                     , SK, 1.8030,0.0400,0.1500, 1.6130,         ,       ,  
WADENA                    , SK, 1.7892,0.0400,0.1500, 1.5992,         ,       ,  
WEYBURN                   , SK, 1.7716,0.0400,0.1500, 1.5816,         ,       ,  
YORKTON-HWY 16            , SK, 1.7847,0.0400,0.1500, 1.5947,         ,       ,  
  
ALDERSYDE                 , AB, 1.7728,0.0400,0.1300, 1.6028,         ,       ,  
ALDERSYDE                 , AB, 1.7728,0.0400,0.1300, 1.6028,         ,       ,  
ATHABASCA                 , AB, 1.7584,0.0400,0.1300, 1.5884,         ,       ,  
BASSANO                   , AB, 1.7777,0.0400,0.1300, 1.6077,         ,       ,  
BONNYVILLE                , AB, 1.7632,0.0400,0.1300, 1.5932,         ,       ,  
BROOKS-AGCOM              , AB, 1.7816,0.0400,0.1300, 1.6116,         ,       ,  
BVD - CALGARY WEST        , AB, 1.8132,0.0400,0.1300, 1.6432,         ,       ,  
CALGARY-COUNTRY HILLS     , AB, 1.7721,0.0400,0.1300, 1.6021,         ,       ,  
CALGARY-MONUMENT          , AB, 1.7619,0.0400,0.1300, 1.5919,         ,       ,  
CALGARY-OGDEN RD          , AB, 1.7613,0.0400,0.1300, 1.5913,         ,       ,  
CALGARY-REMINGTON         , AB, 1.7636,0.0400,0.1300, 1.5936,         ,       ,  
CALGARY ROAD KING  AB     ,   , 1.7615,0.0400,0.1300, 1.5915,         ,       ,  
CAMROSE                   , AB, 1.7456,0.0400,0.1300, 1.5756,         ,       ,  
CARDSTON                  , AB, 1.7843,0.0400,0.1300, 1.6143,         ,       ,  
CARSTAIRS                 , AB, 1.7599,0.0400,0.1300, 1.5899,         ,       ,  
CLAIRMONT                 , AB, 1.7848,0.0400,0.1300, 1.6148,         ,       ,  
CNRL HORIZON PROJECT      , AB, 1.8310,0.0400,0.1300, 1.6610,         ,       ,  
COCHRANE-JUMPING POUND    , AB, 1.7742,0.0400,0.1300, 1.6042,         ,       ,  
COLD LAKE                 , AB, 1.7845,0.0400,0.1300, 1.6145,         ,       ,  
CORONATION                , AB, 1.7579,0.0400,0.1300, 1.5879,         ,       ,  
CROSSFIELD                , AB, 1.7602,0.0400,0.1300, 1.5902,         ,       ,  
DRAYTON VALLEY-50TH ST    , AB, 1.7540,0.0400,0.1300, 1.5840,         ,       ,  
DRAYTON VALLEY-INDUSTRIAL , AB, 1.7548,0.0400,0.1300, 1.5848,         ,       ,  
DRUMHELLER                , AB, 1.7631,0.0400,0.1300, 1.5931,         ,       ,  
EDMONTON-118 AVE          , AB, 1.7427,0.0400,0.1300, 1.5727,         ,       ,  
EDMONTON-50TH ST          , AB, 1.7411,0.0400,0.1300, 1.5711,         ,       ,  
EDMONTON-ACHESON          , AB, 1.7457,0.0400,0.1300, 1.5757,         ,       ,  
EDMONTON-WEST (HUNTERS CNR, AB, 1.7434,0.0400,0.1300, 1.5734,         ,       ,  
EDMONTON-YELLOWHEAD       , AB, 1.7378,0.0400,0.1300, 1.5678,         ,       ,  
EDSON - 63 ST             , AB, 1.7594,0.0400,0.1300, 1.5894,         ,       ,  
FALHER                    , AB, 1.7851,0.0400,0.1300, 1.6151,         ,       ,  
FORT MCMURRAY-NORTH       , AB, 1.7964,0.0400,0.1300, 1.6264,         ,       ,  
FORT MCMURRAY PPASS 66    , AB, 1.7786,0.0400,0.1300, 1.6086,         ,       ,  
FORT MCMURRAY-SOUTH       , AB, 1.7964,0.0400,0.1300, 1.6264,         ,       ,  
FOX CREEK                 , AB, 1.7685,0.0400,0.1300, 1.5985,         ,       ,  
FT SASKATCHEWAN           , AB, 1.7431,0.0400,0.1300, 1.5731,         ,       ,  
GLENEVIS                  , AB, 1.7443,0.0400,0.1300, 1.5743,         ,       ,  
GRANDE PRAIRIE-116 ST     , AB, 1.7887,0.0400,0.1300, 1.6187,         ,       ,  
GRANDE PRAIRIE-97TH       , AB, 1.7848,0.0400,0.1300, 1.6148,         ,       ,  
GRASSLAND                 , AB, 1.7707,0.0400,0.1300, 1.6007,         ,       ,  
HANNA                     , AB, 1.7736,0.0400,0.1300, 1.6036,         ,       ,  
HARDISTY                  , AB, 1.7534,0.0400,0.1300, 1.5834,         ,       ,  
HIGH LEVEL                , AB, 1.7901,0.0400,0.1300, 1.6201,         ,       ,  
HIGH PRAIRIE              , AB, 1.7778,0.0400,0.1300, 1.6078,         ,       ,  
HINTON                    , AB, 1.7701,0.0400,0.1300, 1.6001,         ,       ,  
HUSSAR                    , AB, 1.7793,0.0400,0.1300, 1.6093,         ,       ,  
LAC LA BICHE              , AB, 1.7634,0.0400,0.1300, 1.5934,         ,       ,  
LA CRETE                  , AB, 1.8084,0.0400,0.1300, 1.6384,         ,       ,  
LETHBRIDGE                , AB, 1.7840,0.0400,0.1300, 1.6140,         ,       ,  
LLOYDMINSTER 63           , AB, 1.7617,0.0400,0.1300, 1.5917,         ,       ,  
LLOYDMINSTER              , AB, 1.7617,0.0400,0.1300, 1.5917,         ,       ,  
MANNING                   , AB, 1.8006,0.0400,0.1300, 1.6306,         ,       ,  
MCL ARCHIEWAY             , AB, 1.9442,0.0400,0.1300, 1.7742,         ,       ,  
MCL BALZAC YAR            , AB, 1.7871,0.0400,0.1300, 1.6171,         ,       ,  
MCL CNRL PIKE CAMP AB     ,   , 1.8460,0.0400,0.1300, 1.6760,         ,       ,  
MCL DEERFOOT UPGRADES     , AB, 1.7879,0.0400,0.1300, 1.6179,         ,       ,  
MCL DP2Z- BLOCK 80 DEPOT A,   , 1.7823,0.0400,0.1300, 1.6123,         ,       ,  
MCL HAMMERSTONE_92704     , AB, 1.8014,0.0400,0.1300, 1.6314,         ,       ,  
MCL HAMMERSTONE CON_92701 , AB, 1.7870,0.0400,0.1300, 1.6170,         ,       ,  
MCL HANGINGSTONE          , AB, 1.7830,0.0400,0.1300, 1.6130,         ,       ,  
MCL HUSKY RD              , AB, 1.9748,0.0400,0.1300, 1.8048,         ,       ,  
MCL JACKFISH              , AB, 1.8227,0.0400,0.1300, 1.6527,         ,       ,  
MCL JACKFISH TA    AB     ,   , 1.8496,0.0400,0.1300, 1.6796,         ,       ,  
MCL KLEYSEN               , AB, 1.7475,0.0400,0.1300, 1.5775,         ,       ,  
MCL LEISMER               , AB, 1.8312,0.0400,0.1300, 1.6612,         ,       ,  
MCL LONG LAKE             , AB, 1.8350,0.0400,0.1300, 1.6650,         ,       ,  
MCL PELICAN LAKE          , AB, 1.8206,0.0400,0.1300, 1.6506,         ,       ,  
MCL PRIMROSE THERMAL      , AB, 1.8558,0.0400,0.1300, 1.6858,         ,       ,  
MCL RUTH LAKE             , AB, 1.8084,0.0400,0.1300, 1.6384,         ,       ,  
MCL WHISKEY JACK   AB     ,   , 1.8100,0.0400,0.1300, 1.6400,         ,       ,  
MEDICINE HAT-10TH AVE     , AB, 1.7888,0.0400,0.1300, 1.6188,         ,       ,  
MEDICINE HAT-BOX SPRINGS  , AB, 1.7936,0.0400,0.1300, 1.6236,         ,       ,  
NISKU                     , AB, 1.7443,0.0400,0.1300, 1.5743,         ,       ,  
OLDS                      , AB, 1.7580,0.0400,0.1300, 1.5880,         ,       ,  
PEACE RIVER               , AB, 1.7869,0.0400,0.1300, 1.6169,         ,       ,  
PEACE RIVER               , AB, 1.7869,0.0400,0.1300, 1.6169,         ,       ,  
PINCHER CREEK             , AB, 1.7842,0.0400,0.1300, 1.6142,         ,       ,  
PROVOST                   , AB, 1.7671,0.0400,0.1300, 1.5971,         ,       ,  
REDCLIFF                  , AB, 1.7898,0.0400,0.1300, 1.6198,         ,       ,  
RED DEER-54TH AVE         , AB, 1.7512,0.0400,0.1300, 1.5812,         ,       ,  
RED DEER-EDGAR            , AB, 1.7512,0.0400,0.1300, 1.5812,         ,       ,  
RED DEER HIGHWAY 2 AND 42 , AB, 1.7520,0.0400,0.1300, 1.5820,         ,       ,  
RED EARTH CREEK           , AB, 1.7842,0.0400,0.1300, 1.6142,         ,       ,  
ROCKY MTN HOUSE           , AB, 1.7576,0.0400,0.1300, 1.5876,         ,       ,  
SLAVE LAKE-12TH AVE       , AB, 1.7697,0.0400,0.1300, 1.5997,         ,       ,  
SLAVE LAKE-15TH AVE       , AB, 1.7697,0.0400,0.1300, 1.5997,         ,       ,  
SPIRIT RIVER              , AB, 1.7904,0.0400,0.1300, 1.6204,         ,       ,  
STETTLER                  , AB, 1.7544,0.0400,0.1300, 1.5844,         ,       ,  
STRATHMORE                , AB, 1.7755,0.0400,0.1300, 1.6055,         ,       ,  
SUNDRE                    , AB, 1.7605,0.0400,0.1300, 1.5905,         ,       ,  
TABER                     , AB, 1.7898,0.0400,0.1300, 1.6198,         ,       ,  
THREE HILLS               , AB, 1.7603,0.0400,0.1300, 1.5903,         ,       ,  
VALLEYVIEW                , AB, 1.7746,0.0400,0.1300, 1.6046,         ,       ,  
VEGREVILLE                , AB, 1.7477,0.0400,0.1300, 1.5777,         ,       ,  
VERMILION                 , AB, 1.7598,0.0400,0.1300, 1.5898,         ,       ,  
VIKING                    , AB, 1.7500,0.0400,0.1300, 1.5800,         ,       ,  
VULCAN                    , AB, 1.7806,0.0400,0.1300, 1.6106,         ,       ,  
WASKATENAU                , AB, 1.7449,0.0400,0.1300, 1.5749,         ,       ,  
WESTLOCK                  , AB, 1.7539,0.0400,0.1300, 1.5839,         ,       ,  
WETASKIWIN                , AB, 1.7464,0.0400,0.1300, 1.5764,         ,       ,  
WHITECOURT-42ND ST        , AB, 1.7641,0.0400,0.1300, 1.5941,         ,       ,  
WHITECOURT-HWY 43         , AB, 1.7641,0.0400,0.1300, 1.5941,         ,       ,  
  
100 MILE HOUSE            , BC, 2.0236,0.0400,0.1500, 1.8336,         ,       ,  
