Petro-Canada Petro-Pass Price (Canadian $/Litre)                Page:   1      ,,,,,,,  
            (As of: 2026-04-02)                    Created on: 2026-04-02      ,,,,,,,  
Account: 7089248298 - OBYR TRANSPORT INC.                                      ,,,,,,,  
Product: D1         - DIESEL - ULS                                             ,,,,,,,  
Region : "ALL"  Provinces: "ALL"                                               ,,,,,,,  
                          ,   ,PRICE* ,      , CBN+ ,BASE   ,         ,       ,  
                          ,   ,EXCL.  , FCT+ , PFT+ ,PRICE  ,         ,       ,  
                          ,   ,GST/HST,  FET , UTT  ,EXCL.  ,         ,       ,  
SITE NAME                 ,Prv,PST $/L,  $/L , $/L  ,TAX $/L,         ,       ,  
--------------------------,---,-------,------,------,-------,         ,       ,  
CLARKSON                  , ON, 1.7911,0.0400,0.0900, 1.6611,         ,       ,  
COLLINGWOOD               , ON, 1.7972,0.0400,0.0900, 1.6672,         ,       ,  
CONCORD                   , ON, 1.7886,0.0400,0.0900, 1.6586,         ,       ,  
COOKSTOWN                 , ON, 1.7933,0.0400,0.0900, 1.6633,         ,       ,  
DORCHESTER WEST           , ON, 1.7695,0.0400,0.0900, 1.6395,         ,       ,  
DRYDEN                    , ON, 1.6703,0.0400,0.0900, 1.5403,         ,       ,  
DUNNVILLE                 , ON, 1.7990,0.0400,0.0900, 1.6690,         ,       ,  
EXETER                    , ON, 1.7767,0.0400,0.0900, 1.6467,         ,       ,  
FERGUS                    , ON, 1.8010,0.0400,0.0900, 1.6710,         ,       ,  
FLAMBOROUGH               , ON, 1.7930,0.0400,0.0900, 1.6630,         ,       ,  
FORT ERIE                 , ON, 1.7996,0.0400,0.0900, 1.6696,         ,       ,  
GLENCOE         ON        ,   , 1.7610,0.0400,0.0900, 1.6310,         ,       ,  
GUELPH                    , ON, 1.7960,0.0400,0.0900, 1.6660,         ,       ,  
HAGERSVILLE               , ON, 1.8039,0.0400,0.0900, 1.6739,         ,       ,  
HAMILTON-KENORA AVE       , ON, 1.7961,0.0400,0.0900, 1.6661,         ,       ,  
HAMILTON-PARKDALE         , ON, 1.7961,0.0400,0.0900, 1.6661,         ,       ,  
HORNBY                    , ON, 1.7841,0.0400,0.0900, 1.6541,         ,       ,  
HUNTSVILLE                , ON, 1.8040,0.0400,0.0900, 1.6740,         ,       ,  
IGNACE                    , ON, 1.6295,0.0400,0.0900, 1.4995,         ,       ,  
KAMINISTIQUIA             , ON, 1.6125,0.0400,0.0900, 1.4825,         ,       ,  
KENORA                    , ON, 1.6547,0.0400,0.0900, 1.5247,         ,       ,  
KINGSTON-CENTENNIAL WEST  , ON, 1.8556,0.0400,0.0900, 1.7256,         ,       ,  
KITCHENER                 , ON, 1.7758,0.0400,0.0900, 1.6458,         ,       ,  
LANGTON                   , ON, 1.7764,0.0400,0.0900, 1.6464,         ,       ,  
LISTOWEL                  , ON, 1.7864,0.0400,0.0900, 1.6564,         ,       ,  
LONDON-CLARKE ROAD        , ON, 1.7670,0.0400,0.0900, 1.6370,         ,       ,  
