Petro-Canada Petro-Pass Price (Canadian $/Litre)                Page:   1      ,,,,,,,  
            (As of: 2026-04-02)                    Created on: 2026-04-02      ,,,,,,,  
Account: 7089248298 - OBYR TRANSPORT INC.                                      ,,,,,,,  
Product: D1         - DIESEL - ULS                                             ,,,,,,,  
Region : "ALL"  Provinces: "ALL"                                               ,,,,,,,  
                          ,   ,PRICE* ,      , CBN+ ,BASE   ,         ,       ,  
                          ,   ,EXCL.  , FCT+ , PFT+ ,PRICE  ,         ,       ,  
                          ,   ,GST/HST,  FET , UTT  ,EXCL.  ,         ,       ,  
SITE NAME                 ,Prv,PST $/L,  $/L , $/L  ,TAX $/L,         ,       ,  
--------------------------,---,-------,------,------,-------,         ,       ,  
OLDS                      , AB, 1.6420,0.0400,0.1300, 1.4720,         ,       ,  
PEACE RIVER               , AB, 1.6709,0.0400,0.1300, 1.5009,         ,       ,  
PEACE RIVER               , AB, 1.6709,0.0400,0.1300, 1.5009,         ,       ,  
PINCHER CREEK             , AB, 1.6682,0.0400,0.1300, 1.4982,         ,       ,  
PROVOST                   , AB, 1.6511,0.0400,0.1300, 1.4811,         ,       ,  
REDCLIFF                  , AB, 1.6738,0.0400,0.1300, 1.5038,         ,       ,  
RED DEER-54TH AVE         , AB, 1.6352,0.0400,0.1300, 1.4652,         ,       ,  
RED DEER-EDGAR            , AB, 1.6352,0.0400,0.1300, 1.4652,         ,       ,  
RED DEER HIGHWAY 2 AND 42 , AB, 1.6360,0.0400,0.1300, 1.4660,         ,       ,  
RED EARTH CREEK           , AB, 1.6682,0.0400,0.1300, 1.4982,         ,       ,  
ROCKY MTN HOUSE           , AB, 1.6416,0.0400,0.1300, 1.4716,         ,       ,  
SLAVE LAKE-12TH AVE       , AB, 1.6537,0.0400,0.1300, 1.4837,         ,       ,  
SLAVE LAKE-15TH AVE       , AB, 1.6537,0.0400,0.1300, 1.4837,         ,       ,  
SPIRIT RIVER              , AB, 1.6744,0.0400,0.1300, 1.5044,         ,       ,  
STETTLER                  , AB, 1.6384,0.0400,0.1300, 1.4684,         ,       ,  
STRATHMORE                , AB, 1.6595,0.0400,0.1300, 1.4895,         ,       ,  
SUNDRE                    , AB, 1.6445,0.0400,0.1300, 1.4745,         ,       ,  
TABER                     , AB, 1.6738,0.0400,0.1300, 1.5038,         ,       ,  
THREE HILLS               , AB, 1.6443,0.0400,0.1300, 1.4743,         ,       ,  
VALLEYVIEW                , AB, 1.6586,0.0400,0.1300, 1.4886,         ,       ,  
VEGREVILLE                , AB, 1.6317,0.0400,0.1300, 1.4617,         ,       ,  
VERMILION                 , AB, 1.6438,0.0400,0.1300, 1.4738,         ,       ,  
VIKING                    , AB, 1.6340,0.0400,0.1300, 1.4640,         ,       ,  
VULCAN                    , AB, 1.6646,0.0400,0.1300, 1.4946,         ,       ,  
WASKATENAU                , AB, 1.6289,0.0400,0.1300, 1.4589,         ,       ,  
WESTLOCK                  , AB, 1.6379,0.0400,0.1300, 1.4679,         ,       ,  
WETASKIWIN                , AB, 1.6304,0.0400,0.1300, 1.4604,         ,       ,  
WHITECOURT-42ND ST        , AB, 1.6481,0.0400,0.1300, 1.4781,         ,       ,  
WHITECOURT-HWY 43         , AB, 1.6481,0.0400,0.1300, 1.4781,         ,       ,  
  
100 MILE HOUSE            , BC, 1.9076,0.0400,0.1500, 1.7176,         ,       ,  
ABBOTSFORD                ,BC , 2.2906,0.0400,0.1500, 2.1006,         ,       ,  
BVD - KAMLOOPS WEST       , BC, 1.9343,0.0400,0.1500, 1.7443,         ,       ,  
CAMPBELL RIVER            , BC, 2.3294,0.0400,0.1500, 2.1394,         ,       ,  
CHILLIWACK                , BC, 2.2952,0.0400,0.1500, 2.1052,         ,       ,  
CHILLIWACK W-GREENDALE    , BC, 2.2931,0.0400,0.1500, 2.1031,         ,       ,  
COQUITLAM                 , BC, 2.4112,0.0400,0.2750, 2.0962,         ,       ,  
COURTENAY                 , BC, 2.3280,0.0400,0.1500, 2.1380,         ,       ,  
CRANBROOK                 , BC, 1.9094,0.0400,0.1500, 1.7194,         ,       ,  
DAWSON CREEK              , BC, 1.8517,0.0400,0.1500, 1.6617,         ,       ,  
DELTA                     , BC, 2.4128,0.0400,0.2750, 2.0978,         ,       ,  
DUNCAN                    , BC, 2.3212,0.0400,0.1500, 2.1312,         ,       ,  
FORT NELSON               , BC, 1.8480,0.0400,0.1500, 1.6580,         ,       ,  
FORT ST JOHN              , BC, 1.8373,0.0400,0.1500, 1.6473,         ,       ,  
GOLDEN                    , BC, 1.9017,0.0400,0.1500, 1.7117,         ,       ,  
GOLD RIVER    BC          ,   , 2.3580,0.0400,0.1500, 2.1680,         ,       ,  
GRAND FORKS               , BC, 1.9187,0.0400,0.1500, 1.7287,         ,       ,  
HOUSTON                   , BC, 1.8957,0.0400,0.1500, 1.7057,         ,       ,  
INVERMERE PPASS           , BC, 1.9026,0.0400,0.1500, 1.7126,         ,       ,  
KAMLOOPS-TCH EAST         , BC, 1.8788,0.0400,0.1500, 1.6888,         ,       ,  
KAMLOOPS-TCH WEST         , BC, 1.8788,0.0400,0.1500, 1.6888,         ,       ,  
KELOWNA-ACLAND RD         , BC, 1.9026,0.0400,0.1500, 1.7126,         ,       ,  
KELOWNA-WESTBANK          , BC, 1.9026,0.0400,0.1500, 1.7126,         ,       ,  
KITWANGA                  , BC, 1.8930,0.0400,0.1500, 1.7030,         ,       ,  
MACKENZIE                 , BC, 1.8520,0.0400,0.1500, 1.6620,         ,       ,  
MCL ALTAGAS REEF          , BC, 1.4040,0.0400,0.1500, 1.2140,         ,       ,  
MCL BLACKWATER COLD       , BC, 1.9000,0.0400,0.1500, 1.7100,         ,       ,  
MCL CAMPBELL RIVER TEMP PP, BC, 2.3209,0.0400,0.1500, 2.1309,         ,       ,  
MCL HUNTER CREEK CGL      , BC, 1.9565,0.0400,0.1500, 1.7665,         ,       ,  
MCL ROYAL CAMP MILE 109   , BC, 1.9990,0.0400,0.1500, 1.8090,         ,       ,  
MCL ROYAL CAMP MILE 147   , BC, 2.0678,0.0400,0.1500, 1.8778,         ,       ,  
MCL TCE - MT BRACEY       , BC, 1.9032,0.0400,0.1500, 1.7132,         ,       ,  
NAKUSP                    , BC, 1.9129,0.0400,0.1500, 1.7229,         ,       ,  
NANAIMO                   , BC, 2.3212,0.0400,0.1500, 2.1312,         ,       ,  
PENTICTON                 , BC, 1.9065,0.0400,0.1500, 1.7165,         ,       ,  
PRINCE GEORGE-GREAT ST    , BC, 1.8340,0.0400,0.1500, 1.6440,         ,       ,  
PRINCE GEORGE-HARTWAY     , BC, 1.8340,0.0400,0.1500, 1.6440,         ,       ,  
PRINCE RUPERT             ,B  , 1.9077,0.0400,0.1500, 1.7177,         ,       ,  
QUESNEL                   , BC, 1.8499,0.0400,0.1500, 1.6599,         ,       ,  
REVELSTOKE                , BC, 1.9065,0.0400,0.1500, 1.7165,         ,       ,  
SALMON ARM                , BC, 1.9016,0.0400,0.1500, 1.7116,         ,       ,  
SMITHERS                  , BC, 1.8888,0.0400,0.1500, 1.6988,         ,       ,  
SPARWOOD                  , BC, 1.9094,0.0400,0.1500, 1.7194,         ,       ,  
TERRACE                   , BC, 1.8680,0.0400,0.1500, 1.6780,         ,       ,  
THORNHILL/TERRACE PPASS   , BC, 1.8680,0.0400,0.1500, 1.6780,         ,       ,  
VANCOUVER                 , BC, 2.4120,0.0400,0.2750, 2.0970,         ,       ,  
VERNON                    , BC, 1.8957,0.0400,0.1500, 1.7057,         ,       ,  
WILLIAMS LAKE-COLLIER     , BC, 1.9164,0.0400,0.1500, 1.7264,         ,       ,  
WILLIAMS LAKE-GILL        , BC, 1.9164,0.0400,0.1500, 1.7264,         ,       ,  
  
WATSON LAKE               , YT, 1.6684,0.0400,0.0720, 1.5564,         ,       ,  
WHITEHORSE-ALASKA HWY     , YT, 1.7367,0.0400,0.0720, 1.6247,         ,       ,  
WHITEHORSE-GALENA RD      , YT, 1.7367,0.0400,0.0720, 1.6247,         ,       ,  
  
ENTERPRISE                , NT, 1.7471,0.0400,0.0910, 1.6161,         ,       ,  
YELLOWKNIFE               , NT, 1.7545,0.0400,0.0910, 1.6235,         ,       ,  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
Due to occasional market related price changes at individual Petro-Pass        ,,,,,,,  
locations the actual invoice price will take precedence over this price list.  ,,,,,,,  
                                                                               ,,,,,,,  
* Price = (Base Price excl. Tax) + (FET+FCT)+(UTT+PFT+CBN where applicable)    ,,,,,,,  
  
                                                                               ,,,,,,,  
