SITE_NUMBER,Station_Name,CITY,PROVINCE,Address,FUEL_PRICE,EFFECTIVE_DATE
519340,Hythe,HYTHE,AB,Alberta 43,162.6,2026-04-03
519340,Hythe,HYTHE,AB,Alberta 43,163.1,2026-04-03
528508,Kananaskis Travel Centre,KANANASKIS,AB,100 Nakoda Way,159.7,2026-04-03
519346,Lac La Biche,LAC LA BICHE,AB,10302 101 Ave,162.1,2026-04-03
524591,Leduc,NISKU,AB,201 8020 Sparrow Dr,154.5,2026-04-03
524596,Lethbridge,LETHBRIDGE,AB,3951 2 Ave N,160.6,2026-04-03
524542,Lloydminster Bulk Plant,LLOYDMINSTER,AB,5310 52 St,155.6,2026-04-03
524604,Lloydminster Travel Centre,LLOYDMINSTER,AB,5721 44 St,157.2,2026-04-03
524603,Medicine Hat,MEDICINE HAT,AB,561 15 St SW,161.5,2026-04-03
519347,Okotoks,OKOTOKS,AB,48223 338th Avenue East,160.0,2026-04-03
524592,Rainbow Lake,RAINBOW LAKE,AB,25 Mobil Ave,171.0,2026-04-03
519349,Red Deer,RED DEER,AB,8132 Edgar Industrial Close,158.8,2026-04-03
524608,Red Deer Bulk Plant,RED DEER,AB,8120 Edgar Industrial Dr,158.0,2026-04-03
524599,Rycroft,RYCROFT,AB,4923 43 St,165.6,2026-04-03
541686,Sherwood Park,SHERWOOD PARK,AB,28 Strathmoor Dr,154.5,2026-04-03
519341,Slave Lake,SLAVE LAKE,AB,1501 15th Avenue SE,163.6,2026-04-03
524546,Spruce Valley (Prosvita),SPRUCE VALLEY,AB,194057A Twp Rd 683,161.6,2026-04-03
524597,Strathmore Travel Centre,STRATHMORE,AB,436 Ridge Rd,158.4,2026-04-03
524598,Vermilion,VERMILLION,AB,4403 52 St,158.4,2026-04-03
519353,Viking,VIKING,AB,Alberta 36 & AB-14,160.2,2026-04-03
524611,Whitecourt,WHITECOURT,AB,Jct Hwy 43 & 32,162.0,2026-04-03
523529,Abbotsford,ABBOTSFORD,BC,30650 South Fraser Way,225.8,2026-04-03
524578,Blue River Travel Centre,BLUE RIVER,BC,778 Hwy 5,185.4,2026-04-03
524586,Cache Creek,CACHE CREEK,BC,959 S Trans-Canada Hwy,183.0,2026-04-03
524555,Chilliwack Travel Centre,CHILLIWACK,BC,7620a Vedder Rd,224.4,2026-04-03
519383,Dawson Creek,DAWSON CREEK,BC,1725 Alaska Hwy,181.0,2026-04-03
524878,Fort Nelson 48 Ave,FORT NELSON,BC,5303 48 Ave,168.7,2026-04-03
524587,Fort Nelson Bulk Plant,FORT NELSON,BC,Mile 293 Alaska Hwy,168.1,2026-04-03
524583,Fort St John Bulk Plant,FORT ST JOHN,BC,9516 78 St,166.7,2026-04-03
524585,Fort St John Sikanni Rd,FT ST JOHN,BC,9516 Sikanni Rd,166.7,2026-04-03
524571,Golden Travel Centre,GOLDEN,BC,1050 Trans-Canada Hwy,188.0,2026-04-03
524575,Hope Flood Hope Rd,HOPE,BC,61850 Flood Hope Rd,225.5,2026-04-03
545954,Invermere,INVERMERE,BC,548 Hwy 93/95 & Cooper Rd,167.1,2026-04-03
524588,Kamloops Paul Lake Rd Travel Centre,KAMLOOPS,BC,401 Paul Lake Rd,180.9,2026-04-03
524570,McBride,MCBRIDE,BC,1006 N Frontage Rd,180.5,2026-04-03
541489,Prince George Foreman Road,PRINCE GEORGE,BC,778 Foreman Rd,177.3,2026-04-03
519359,Prince George Great Street,PRINCE GEORGE,BC,1085 Great Street,176.8,2026-04-03
524580,Prince George Hart Hwy Travel Centre,PRINCE GEORGE,BC,8087 Hart Hwy,176.9,2026-04-03
524577,Prince George Noranda Rd,PRINCE GEORGE,BC,2180 Noranda Rd,177.5,2026-04-03
524572,Prince George Travel Center,PRINCE GEORGE,BC,1148 Pacific St,177.4,2026-04-03
524574,Sicamous Travel Centre,SICAMOUS,BC,1340 Trans-Canada Hwy,183.9,2026-04-03
541200,Silver Creek Travel Centre,HOPE,BC,19700 Klassen Rd,225.7,2026-04-03
519376,Surrey,SURREY,BC,11807 Tannery Rd,238.8,2026-04-03
524579,Terrace,THORNHILL,BC,3097 BC-16 Hwy E,184.6,2026-04-03
522409,Williams Lake,WILLIAMS LAKE,BC,645 Mackenzie Ave N,181.6,2026-04-03
519386,,CLOVERDALE,BC,,238.3,2026-04-03
524544,Brandon 18 St N Travel Centre,BRANDON,MB,1990 18 St N,160.9,2026-04-03
519389,Brandon Middleton Ave,BRANDON,MB,1815 Middleton Ave,162.1,2026-04-03
524617,Headingley Travel Centre,HEADINGLEY,MB,5141 Portage Ave,159.0,2026-04-03
524618,Morris,MORRIS,MB,Hwy 75 & Stampede Dr,161.0,2026-04-03
519401,Oak Bluff Travel Centre,OAK BLUFF,MB,40 Boundary Commission Trail,158.9,2026-04-03
522586,Prawda Travel Centre,PRAWDA,MB,Hwy 1 PR-506,161.9,2026-04-03
524568,Winnipeg Brookside,WINNIPEG,MB,1991 Brookside Blvd,159.3,2026-04-03
524600,Winnipeg Bulk Plant,WINNIPEG,MB,922 Dugald Rd,159.8,2026-04-03
524564,Winnipeg Kenaston,WINNIPEG,MB,25 Lowson Cres,159.3,2026-04-03
524549,Winnipeg Redonda,WINNIPEG,MB,1300 Redonda Street,159.8,2026-04-03
540937,,AFTON STATION,NS,,199.3,2026-04-03
524879,Bainsville Travel Centre,BAINSVILLE,ON,6115 4th Line Rd,182.0,2026-04-03
524543,Belmont Travel Centre,BELMONT,ON,Hwy 401 & 74,177.0,2026-04-03
524621,Bradford Travel Centre,BRADFORD,ON,1-3479 Hwy 88,179.1,2026-04-03
529037,Cardinal,CARDINAL,ON,2085 Shanly Rd - County Rd 22,182.8,2026-04-03
529152,Cochrane,COCHRANE,ON,99 - Highway 11,187.4,2026-04-03
524882,Cornwall,CORNWALL,ON,1400 Boundary Rd,182.8,2026-04-03
519415,Dryden Highway 17 East,DRYDEN,ON,15627 Hwy 17 E,165.3,2026-04-03
524626,Dryden Travel Centre,DRYDEN,ON,379 Government St,165.6,2026-04-03
519414,Dunvegan,DUNVEGAN,ON,1515 County Rd #20,183.9,2026-04-03
547259,Esso Belleville,BELLEVILLE,ON,902 Wallbridge Loyalist Road,178.8,2026-04-03
551368,Esso Bowmanville,BOWMANVILLE,ON,87 Mearns Court,178.2,2026-04-03
547206,Esso Chatham Bloomfield,CHATHAM,ON,22216 Bloomfield Road,177.6,2026-04-03
547260,Esso Sarnia,SARNIA,ON,1670 London Line,177.1,2026-04-03
547205,Esso Tilbury,TILBURY,ON,3613 Queens Line,177.8,2026-04-03
550505,Esso Toronto Finch,TORONTO,ON,1140 Finch Ave W,178.8,2026-04-03
524624,Gormley,GORMLEY,ON,2210 Stouffville Rd,179.6,2026-04-03
523093,Hawkesbury,HAWKESBURY,ON,345 County Road 17,183.9,2026-04-03
519417,Hearst Front Street Travel Centre,HEARST,ON,1112 Front St Bag 11000,188.3,2026-04-03
524622,Hearst Hwy 11 W Travel Centre,HEARST,ON,1565 Hwy 11 W,185.4,2026-04-03
524556,Joyceville Travel Centre,JOYCEVILLE,ON,2054 Joyceville Rd,182.3,2026-04-03
519406,Kingston Travel Centre,KINGSTON,ON,1525-1601 Centennial Drive,183.3,2026-04-03
545520,London,LONDON,ON,7340 Colonel Talbot Rd,176.6,2026-04-03
545520,London,LONDON,ON,7340 Colonel Talbot Rd,177.1,2026-04-03
519416,Mississauga Dixie,MISSISSAUGA,ON,7280 Dixie Road,178.8,2026-04-03
546136,Mississauga Goreway Dr,MISSISSAUGA,ON,6501 Goreway Drive,178.8,2026-04-03
524557,Mississauga Kennedy Rd Travel Centre,MISSISSAUGA,ON,6625 Kennedy Rd,178.6,2026-04-03
546210,Mississauga Pearson,MISSISSAUGA,ON,6965 Vanguard Drive,178.4,2026-04-03
524558,Mississauga Shawson Dr Travel Centre,MISSISSAUGA,ON,1553 Shawson Dr,179.6,2026-04-03
519420,Nairn Centre Travel Centre,NAIRN CENTER,ON,220 ON-17,178.1,2026-04-03
524627,New Liskeard Travel Centre,NEW LISKEARD,ON,997491 Hwy 11 N,186.5,2026-04-03
524566,Niagara-on-the-Lake Travel Centre,NIAGARA ON THE LAKE,ON,615 York Rd,178.6,2026-04-03
524559,Nipigon Travel Centre,NIPIGON,ON,Hwy 11 & 17 N,161.6,2026-04-03
524560,North Bay,NORTH BAY,ON,3090 Hwy 11 N,182.6,2026-04-03
524625,Rosslyn Travel Centre,ROSSLYN,ON,3131 West Arthur St,161.1,2026-04-03
524620,Sault Ste. Marie Travel Centre,SAULT STE MARIE,ON,1275 Trunk Rd,182.7,2026-04-03
519422,Sioux Lookout,SIOUX LOOKOUT,ON,#19 Black Bear Road,165.9,2026-04-03
524565,Spencerville Travel Centre,SPENCERVILLE,ON,2025 County Road 44,183.2,2026-04-03
519423,Stouffville,STOUFFVILLE,ON,5241 Bloomington Rd,179.0,2026-04-03
542139,Thessalon Travel Centre,THESSALON,ON,10 Lakeshore Dr,182.1,2026-04-03
524619,Thunder Bay Travel Centre,THUNDER BAY,ON,1120 Alloy Dr,160.8,2026-04-03
519425,Timmins Travel Centre,TIMMINS,ON,2154 Riverside Drive,186.4,2026-04-03
528143,Vaughan,VAUGHAN,ON,6535 Langstaff Road,178.8,2026-04-03
519410,Waubashene Travel Centre,WAUBAUSHENE,ON,21 Quarry Road,180.0,2026-04-03
519427,Wawa,WAWA,ON,54 Pinewood Drive,184.8,2026-04-03
524623,White River Travel Centre,WHITE RIVER,ON,217 Hwy 17 N,187.7,2026-04-03
524567,Windsor Travel Centre,WINDSOR,ON,Hwy 401 & Country Rd Exit 14,177.0,2026-04-03
541308,Wingham,WINGHAM,ON,82 Kerr Drive,178.7,2026-04-03
541275,Woodstock,WOODSTOCK,ON,714983 Oxford Road 4,177.5,2026-04-03
553572,Woodstock,WOODSTOCK,ON,714983 Oxford Road 4,177.8,2026-04-03
540376,Cabano,TEMISCOUATA SUR LE L,QC,145 Boul Industriel,206.0,2026-04-03
524118,Deschambeault,DESCHAMBAULT,QC,25 desPins,204.5,2026-04-03
524106,Drummondville,DRUMMONDVILLE,QC,2115 rue canadien,204.7,2026-04-03
548525,Esso Berthier,BERTHIER,QC,1181 Bd Gilles Villeneuve,204.9,2026-04-03
550625,Esso Portneuf-Sur-Mer,PORTNEUF-SUR-MER,QC,3 route 138,206.6,2026-04-03
546174,Mont-Joli,MONT JOLI,QC,1000 B rue Piché,206.8,2026-04-03
546788,Saint-Apollinaire,SAINT APOLLINAIRE,QC,495 rue Laurier,204.8,2026-04-03
522463,Saint-Bernard-de-Lacolle,ST-BERNARD DE LACOLL,QC,105 Chemin Pleasant Valley,205.0,2026-04-03
524116,Stanstead,STANSTEAD,QC,3 Chemin de Fairfax,205.8,2026-04-03
519431,Ste-Helene-de-Bagot,STE-HELENE-DE-BAGOT,QC,549 3e Rang,204.9,2026-04-03
522574,Davidson,DAVIDSON,SK,HWY 11 & Enterprise Lane,158.7,2026-04-03
519402,Meadow Lake,MEADOW LAKE,SK,#2 Commercial Crescent,169.5,2026-04-03
550168,Moosomin Esso Cardlock,MOOSOMIN,SK,502 Park Ave,161.0,2026-04-03
524615,Regina Industrial,REGINA,SK,210 Mcdonald St N,158.6,2026-04-03
524613,Regina Travel Centre,REGINA,SK,1755 Prince of Wales Dr,157.7,2026-04-03
519403,Saskatoon Grasswood Travel Centre,GRASSWOOD,SK,Hwy #11 South at Grasswood Road,159.7,2026-04-03
524562,Saskatoon Travel Centre,SASKATOON,SK,Hwy 16 & Marquis Dr,159.4,2026-04-03
524612,Swift Current East Travel Centre,SWIFT CURRENT,SK,1510 S Service Rd W,161.1,2026-04-03
519404,Swift Current West Travel Centre,SWIFT CURRENT,SK,2615 N Service Road West,160.6,2026-04-03
