SITE_NUMBER,Station_Name,CITY,PROVINCE,Address,FUEL_PRICE,EFFECTIVE_DATE
524593,Acheson Travel Centre,ACHESON,AB,26304 Township Rd 531A,154.3,2026-04-03
519339,Bassano Travel Centre,BASSANO,AB,602 12 Street,160.7,2026-04-03
544222,Bonnyville,BONNYVILLE,AB,6508 54 AVENUE,161.0,2026-04-03
541282,Boyle,BOYLE,AB,RR 194A & TWP Rd 683,166.7,2026-04-03
524553,Calgary 52 Street,CALGARY,AB,6811 52 St SE,157.1,2026-04-03
524551,Calgary Eastlake Industrial,CALGARY,AB,5225 106 Ave SE,156.5,2026-04-03
524554,Calgary Meridian,CALGARY,AB,2504 7 Ave NE,156.6,2026-04-03
524545,Calgary Travel Centre,CALGARY,AB,2525 32 Ave NE,156.6,2026-04-03
524552,Calgary Wrangler Road,CALGARY,AB,234090 Wrangler Rd,156.4,2026-04-03
524607,Clairmont Travel Centre,CLAIRMONT,AB,7201 99 St,163.6,2026-04-03
519343,Cold Lake Esso CL,COLD LAKE,AB,10-1-65-4 W4M,163.9,2026-04-03
524602,Drayton Valley,DRAYTON VALLEY,AB,5201 62 St,161.3,2026-04-03
524595,Edmonton Bulk Plant,EDMONTON,AB,3515 76 Ave,154.0,2026-04-03
524590,Edmonton West Industrial,EDMONTON,AB,16002 114 Ave,154.8,2026-04-03
519352,Edmonton West Travel Centre,EDMONTON,AB,11760 167 St NW,153.5,2026-04-03
524609,Esso Deadman's Flats,DEADMANS FLATS,AB,HWY 1 West 200 - 1st Avenue,159.9,2026-04-03
551007,Esso Grande Prairie,GRAND PRAIRIE,AB,9212-108 Street,162.7,2026-04-03
547008,Esso Nisku,NISKU,AB,2010 Sparrow Drive,154.7,2026-04-03
519354,Fort McMurray,FORT MCMURRAY,AB,160 MacKay Crescent,162.0,2026-04-03
524550,Grassland,GRASSLAND,AB,5004 50th Ave,161.5,2026-04-03
550975,Hinton Gregg Ave Travel Centre,HINTON,AB,511 Gregg Ave,158.7,2026-04-03
524601,Hinton Gregg Ave Travel Centre,HINTON,AB,511 Gregg Ave,159.8,2026-04-03
519345,Hinton Smith St Travel Centre,HINTON,AB,438 Smith Street,158.4,2026-04-03
