SITE_NUMBER,Station_Name,CITY,PROVINCE,Address,FUEL_PRICE,EFFECTIVE_DATE
519386,,CLOVERDALE,BC,,238.0,2026-03-31
524544,Brandon 18 St N Travel Centre,BRANDON,MB,1990 18 St N,167.5,2026-03-31
519389,Brandon Middleton Ave,BRANDON,MB,1815 Middleton Ave,168.7,2026-03-31
524617,Headingley Travel Centre,HEADINGLEY,MB,5141 Portage Ave,165.6,2026-03-31
524618,Morris,MORRIS,MB,Hwy 75 & Stampede Dr,167.6,2026-03-31
519401,Oak Bluff Travel Centre,OAK BLUFF,MB,40 Boundary Commission Trail,165.5,2026-03-31
522586,Prawda Travel Centre,PRAWDA,MB,Hwy 1 PR-506,168.5,2026-03-31
524568,Winnipeg Brookside,WINNIPEG,MB,1991 Brookside Blvd,165.9,2026-03-31
524600,Winnipeg Bulk Plant,WINNIPEG,MB,922 Dugald Rd,166.4,2026-03-31
524564,Winnipeg Kenaston,WINNIPEG,MB,25 Lowson Cres,165.9,2026-03-31
524549,Winnipeg Redonda,WINNIPEG,MB,1300 Redonda Street,166.4,2026-03-31
540937,,AFTON STATION,NS,,205.0,2026-03-31
524879,Bainsville Travel Centre,BAINSVILLE,ON,6115 4th Line Rd,197.2,2026-03-31
524543,Belmont Travel Centre,BELMONT,ON,Hwy 401 & 74,192.2,2026-03-31
524621,Bradford Travel Centre,BRADFORD,ON,1-3479 Hwy 88,194.3,2026-03-31
529037,Cardinal,CARDINAL,ON,2085 Shanly Rd - County Rd 22,198.0,2026-03-31
529152,Cochrane,COCHRANE,ON,99 - Highway 11,202.6,2026-03-31
524882,Cornwall,CORNWALL,ON,1400 Boundary Rd,198.0,2026-03-31
519415,Dryden Highway 17 East,DRYDEN,ON,15627 Hwy 17 E,171.9,2026-03-31
524626,Dryden Travel Centre,DRYDEN,ON,379 Government St,172.2,2026-03-31
519414,Dunvegan,DUNVEGAN,ON,1515 County Rd #20,199.1,2026-03-31
547259,Esso Belleville,BELLEVILLE,ON,902 Wallbridge Loyalist Road,194.0,2026-03-31
547206,Esso Chatham Bloomfield,CHATHAM,ON,22216 Bloomfield Road,192.8,2026-03-31
547260,Esso Sarnia,SARNIA,ON,1670 London Line,192.3,2026-03-31
547205,Esso Tilbury,TILBURY,ON,3613 Queens Line,193.0,2026-03-31
550505,Esso Toronto Finch,TORONTO,ON,1140 Finch Ave W,194.0,2026-03-31
524624,Gormley,GORMLEY,ON,2210 Stouffville Rd,194.8,2026-03-31
523093,Hawkesbury,HAWKESBURY,ON,345 County Road 17,199.1,2026-03-31
519417,Hearst Front Street Travel Centre,HEARST,ON,1112 Front St Bag 11000,203.5,2026-03-31
524622,Hearst Hwy 11 W Travel Centre,HEARST,ON,1565 Hwy 11 W,200.6,2026-03-31
524556,Joyceville Travel Centre,JOYCEVILLE,ON,2054 Joyceville Rd,197.5,2026-03-31
519406,Kingston Travel Centre,KINGSTON,ON,1525-1601 Centennial Drive,198.5,2026-03-31
545520,London,LONDON,ON,7340 Colonel Talbot Rd,191.8,2026-03-31
545520,London,LONDON,ON,7340 Colonel Talbot Rd,192.3,2026-03-31
519416,Mississauga Dixie,MISSISSAUGA,ON,7280 Dixie Road,194.0,2026-03-31
546136,Mississauga Goreway Dr,MISSISSAUGA,ON,6501 Goreway Drive,194.0,2026-03-31
524557,Mississauga Kennedy Rd Travel Centre,MISSISSAUGA,ON,6625 Kennedy Rd,193.8,2026-03-31
546210,Mississauga Pearson,MISSISSAUGA,ON,6965 Vanguard Drive,193.6,2026-03-31
524558,Mississauga Shawson Dr Travel Centre,MISSISSAUGA,ON,1553 Shawson Dr,194.8,2026-03-31
519420,Nairn Centre Travel Centre,NAIRN CENTER,ON,220 ON-17,193.3,2026-03-31
524627,New Liskeard Travel Centre,NEW LISKEARD,ON,997491 Hwy 11 N,201.7,2026-03-31
524566,Niagara-on-the-Lake Travel Centre,NIAGARA ON THE LAKE,ON,615 York Rd,193.8,2026-03-31
524559,Nipigon Travel Centre,NIPIGON,ON,Hwy 11 & 17 N,168.2,2026-03-31
524560,North Bay,NORTH BAY,ON,3090 Hwy 11 N,197.8,2026-03-31
524625,Rosslyn Travel Centre,ROSSLYN,ON,3131 West Arthur St,167.7,2026-03-31
524620,Sault Ste. Marie Travel Centre,SAULT STE MARIE,ON,1275 Trunk Rd,197.9,2026-03-31
519422,Sioux Lookout,SIOUX LOOKOUT,ON,#19 Black Bear Road,172.5,2026-03-31
524565,Spencerville Travel Centre,SPENCERVILLE,ON,2025 County Road 44,198.4,2026-03-31
519423,Stouffville,STOUFFVILLE,ON,5241 Bloomington Rd,194.2,2026-03-31
542139,Thessalon Travel Centre,THESSALON,ON,10 Lakeshore Dr,197.3,2026-03-31
524619,Thunder Bay Travel Centre,THUNDER BAY,ON,1120 Alloy Dr,167.4,2026-03-31
519425,Timmins Travel Centre,TIMMINS,ON,2154 Riverside Drive,201.6,2026-03-31
528143,Vaughan,VAUGHAN,ON,6535 Langstaff Road,194.0,2026-03-31
519410,Waubashene Travel Centre,WAUBAUSHENE,ON,21 Quarry Road,195.2,2026-03-31
519427,Wawa,WAWA,ON,54 Pinewood Drive,200.0,2026-03-31
524623,White River Travel Centre,WHITE RIVER,ON,217 Hwy 17 N,202.9,2026-03-31
524567,Windsor Travel Centre,WINDSOR,ON,Hwy 401 & Country Rd Exit 14,192.2,2026-03-31
541308,Wingham,WINGHAM,ON,82 Kerr Drive,193.9,2026-03-31
541275,Woodstock,WOODSTOCK,ON,714983 Oxford Road 4,192.7,2026-03-31
553572,Woodstock,WOODSTOCK,ON,714983 Oxford Road 4,193.0,2026-03-31
551368,,BOWMANVILLE,ON,,193.4,2026-03-31
540376,Cabano,TEMISCOUATA SUR LE L,QC,145 Boul Industriel,220.2,2026-03-31
524118,Deschambeault,DESCHAMBAULT,QC,25 desPins,218.7,2026-03-31
524106,Drummondville,DRUMMONDVILLE,QC,2115 rue canadien,218.9,2026-03-31
550625,Esso Portneuf-Sur-Mer,PORTNEUF-SUR-MER,QC,3 route 138,220.8,2026-03-31
546174,Mont-Joli,MONT JOLI,QC,1000 B rue Piché,221.0,2026-03-31
546788,Saint-Apollinaire,SAINT APOLLINAIRE,QC,495 rue Laurier,219.0,2026-03-31
522463,Saint-Bernard-de-Lacolle,ST-BERNARD DE LACOLL,QC,105 Chemin Pleasant Valley,219.2,2026-03-31
524116,Stanstead,STANSTEAD,QC,3 Chemin de Fairfax,220.0,2026-03-31
519431,Ste-Helene-de-Bagot,STE-HELENE-DE-BAGOT,QC,549 3e Rang,219.1,2026-03-31
548525,,BERTHIER,QC,,219.1,2026-03-31
522574,Davidson,DAVIDSON,SK,HWY 11 & Enterprise Lane,165.3,2026-03-31
519402,Meadow Lake,MEADOW LAKE,SK,#2 Commercial Crescent,176.1,2026-03-31
550168,Moosomin Esso Cardlock,MOOSOMIN,SK,502 Park Ave,167.6,2026-03-31
524615,Regina Industrial,REGINA,SK,210 Mcdonald St N,165.2,2026-03-31
524613,Regina Travel Centre,REGINA,SK,1755 Prince of Wales Dr,164.3,2026-03-31
519403,Saskatoon Grasswood Travel Centre,GRASSWOOD,SK,Hwy #11 South at Grasswood Road,166.3,2026-03-31
524562,Saskatoon Travel Centre,SASKATOON,SK,Hwy 16 & Marquis Dr,166.0,2026-03-31
524612,Swift Current East Travel Centre,SWIFT CURRENT,SK,1510 S Service Rd W,167.7,2026-03-31
519404,Swift Current West Travel Centre,SWIFT CURRENT,SK,2615 N Service Road West,167.2,2026-03-31
